PROB,LINK,NUM,OBSERVED,TRANTIME,AVGPROB,NDETECT
0.01,|('entry_minny', 'entry_minny')|,100,True,0.0,0.0,0.0
0.01,|('entry_minny', 'entry_minny')|,500,True,2.0,1.0,2
0.01,|('entry_minny', 'entry_minny')|,1000,True,0.0,0.0,0.0
0.01,|('entry_minny', 'entry_minny')|,2000,True,1.0,1.0,1
0.01,|('entry_minny', 'entry_minny')|,3000,True,0.0,0.0,0.0
0.01,|('entry_minny', 'entry_minny')|,4000,True,0.0,0.0,0.0
0.01,|('entry_minny', 'entry_minny')|,5000,True,1.0,1.0,1
0.01,|('exit_donald', 'exit_donald')|,100,False,0.0,0.0,0.0
0.01,|('exit_donald', 'exit_donald')|,500,True,0.0,0.0,0.0
0.01,|('exit_donald', 'exit_donald')|,1000,True,2.0,1.0,1
0.01,|('exit_donald', 'exit_donald')|,1000,True,3.0,1.0,1
0.01,|('exit_donald', 'exit_donald')|,2000,True,0.0,0.0,0.0
0.01,|('exit_donald', 'exit_donald')|,3000,True,0.0,0.0,0.0
0.01,|('exit_donald', 'exit_donald')|,4000,True,0.0,0.0,0.0
0.01,|('exit_donald', 'exit_donald')|,5000,True,1.0,1.0,1
0.01,|('exit_goofy', 'entry_minny')|,100,True,1.0,0.26638176638176642,2
0.01,|('exit_goofy', 'entry_minny')|,100,True,2.0,0.14814814814814817,1
0.01,|('exit_goofy', 'entry_minny')|,100,True,3.0,0.14814814814814817,1
0.01,|('exit_goofy', 'entry_minny')|,100,True,5.0,0.22792022792022792,2
0.01,|('exit_goofy', 'entry_minny')|,100,True,6.0,0.1851851851851852,1
0.01,|('exit_goofy', 'entry_minny')|,100,True,7.0,0.50997150997150997,3
0.01,|('exit_goofy', 'entry_minny')|,100,True,10.0,0.5,1
0.01,|('exit_goofy', 'entry_minny')|,100,True,11.0,0.66666666666666674,1
0.01,|('exit_goofy', 'entry_minny')|,100,True,12.0,0.5,1
0.01,|('exit_goofy', 'entry_minny')|,100,True,14.0,0.33333333333333337,1
0.01,|('exit_goofy', 'entry_minny')|,100,True,15.0,1.0,1
0.01,|('exit_goofy', 'entry_minny')|,500,True,0.0,0.58333333333333337,3
0.01,|('exit_goofy', 'entry_minny')|,500,True,2.0,0.65625,2
0.01,|('exit_goofy', 'entry_minny')|,500,True,4.0,0.4375,1
0.01,|('exit_goofy', 'entry_minny')|,500,True,5.0,1.0,1
0.01,|('exit_goofy', 'entry_minny')|,500,True,9.0,1.0,1
0.01,|('exit_goofy', 'entry_minny')|,500,True,10.0,0.5,1
0.01,|('exit_goofy', 'entry_minny')|,500,True,12.0,1.0,1
0.01,|('exit_goofy', 'entry_minny')|,500,True,13.0,1.0,1
0.01,|('exit_goofy', 'entry_minny')|,500,True,14.0,0.5,1
0.01,|('exit_goofy', 'entry_minny')|,500,True,15.0,0.5,1
0.01,|('exit_goofy', 'entry_minny')|,1000,True,0.0,0.0,0.0
0.01,|('exit_goofy', 'entry_minny')|,2000,True,0.0,0.0,0.0
0.01,|('exit_goofy', 'entry_minny')|,3000,True,0.0,0.0,0.0
0.01,|('exit_goofy', 'entry_minny')|,4000,True,0.0,0.0,0.0
0.01,|('exit_goofy', 'entry_minny')|,5000,True,0.0,0.0,0.0
0.01,|('entry_minny', 'exit_goofy')|,100,True,9.0,1.0,1
0.01,|('entry_minny', 'exit_goofy')|,100,True,11.0,0.5,1
0.01,|('entry_minny', 'exit_goofy')|,100,True,4.0,0.5,1
0.01,|('entry_minny', 'exit_goofy')|,100,True,1.0,1.0,1
0.01,|('entry_minny', 'exit_goofy')|,500,True,10.0,1.0,2
0.01,|('entry_minny', 'exit_goofy')|,500,True,11.0,1.0,2
0.01,|('entry_minny', 'exit_goofy')|,500,True,7.0,1.0,1
0.01,|('entry_minny', 'exit_goofy')|,1000,False,0.0,0.0,0.0
0.01,|('entry_minny', 'exit_goofy')|,2000,False,0.0,0.0,0.0
0.01,|('entry_minny', 'exit_goofy')|,3000,False,0.0,0.0,0.0
0.01,|('entry_minny', 'exit_goofy')|,4000,False,0.0,0.0,0.0
0.01,|('entry_minny', 'exit_goofy')|,5000,False,0.0,0.0,0.0
0.01,|('exit_donald', 'entry_micky')|,100,True,0.0,0.83333333333333337,3
0.01,|('exit_donald', 'entry_micky')|,100,True,3.0,1.0,1
0.01,|('exit_donald', 'entry_micky')|,100,True,4.0,1.0,1
0.01,|('exit_donald', 'entry_micky')|,100,True,5.0,0.5,1
0.01,|('exit_donald', 'entry_micky')|,500,True,0.0,0.2857142857142857,1
0.01,|('exit_donald', 'entry_micky')|,500,True,1.0,0.78333333333333333,3
0.01,|('exit_donald', 'entry_micky')|,500,True,4.0,0.6071428571428571,2
0.01,|('exit_donald', 'entry_micky')|,500,True,5.0,0.34999999999999998,1
0.01,|('exit_donald', 'entry_micky')|,500,True,7.0,0.21428571428571427,1
0.01,|('exit_donald', 'entry_micky')|,500,True,9.0,0.29999999999999999,1
0.01,|('exit_donald', 'entry_micky')|,500,True,15.0,0.64285714285714279,2
0.01,|('exit_donald', 'entry_micky')|,1000,True,0.0,0.0,0.0
0.01,|('exit_donald', 'entry_micky')|,2000,True,0.0,0.0,0.0
0.01,|('exit_donald', 'entry_micky')|,3000,True,0.0,0.0,0.0
0.01,|('exit_donald', 'entry_micky')|,4000,True,0.0,0.0,0.0
