# Server version 0.08 running on GOLDEN.gateway.2wire.net:8123
# Game ID: 66
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Mon Apr 07 12:30:50 EDT 2014
# Player 1: Player-0, 's260520039Player', running on 127.0.0.1
# Player 2: Player-1, 'random', running on GOLDEN.gateway.2wire.net
# Player 3: Player-2, 'Human', running on GOLDEN.gateway.2wire.net
# Player 4: Player-3, 'random', running on GOLDEN.gateway.2wire.net
START Player-0 s260520039Player
START Player-1 random
START Player-2 Human
START Player-3 random
0 (2,2) (3,3)
1 (15,3) (15,4)
2 (2,13) (3,12)
3 (12,15) (11,14)
0 (0,0) (2,2)
0 (2,2) (4,4)
0 null null
1 (12,0) (11,0)
2 (1,14) (2,13)
3 (12,14) (10,14)
3 (10,14) (12,14)
3 null null
0 (3,0) (3,2)
0 (3,2) (3,4)
0 null null
1 (14,2) (15,3)
2 (2,13) (3,13)
3 (14,12) (13,12)
0 (2,1) (3,2)
1 (15,3) (13,3)
1 null null
2 (1,13) (2,13)
3 (15,12) (14,11)
0 (3,2) (2,1)
1 (13,0) (12,0)
2 (3,14) (4,13)
3 (11,14) (10,13)
0 (1,0) (3,2)
0 null null
1 (13,3) (14,4)
2 (3,12) (4,11)
3 (13,14) (11,14)
3 (11,14) (9,12)
3 (9,12) (11,14)
3 null null
0 (2,0) (4,2)
0 (4,2) (2,4)
0 (2,4) (4,2)
0 (4,2) (2,2)
0 (2,2) (4,0)
0 (4,0) (2,2)
0 (2,2) (4,0)
0 (4,0) (2,2)
0 null null
1 (15,1) (15,3)
1 (15,3) (15,1)
1 null null
2 (2,13) (3,12)
3 (11,14) (11,15)
0 (3,1) (4,1)
1 (12,0) (11,1)
2 (1,12) (2,11)
3 (14,13) (13,14)
0 (3,3) (5,5)
0 (5,5) (3,3)
0 (3,3) (3,5)
0 (3,5) (5,3)
0 (5,3) (3,5)
0 (3,5) (5,3)
0 null null
1 (11,1) (10,0)
2 (0,12) (1,12)
3 (13,14) (14,13)
0 (3,2) (5,0)
0 (5,0) (3,2)
0 null null
1 (13,2) (12,3)
2 (2,14) (3,14)
3 (13,13) (13,11)
3 (13,11) (13,13)
3 null null
0 (5,3) (6,2)
1 (12,1) (12,2)
2 (3,13) (4,12)
3 (13,12) (15,10)
3 (15,10) (13,12)
3 (13,12) (15,10)
3 null null
0 (4,4) (5,3)
1 (14,4) (14,5)
2 (3,12) (5,10)
2 null null
3 (15,14) (15,12)
3 null null
0 (1,3) (2,3)
1 (12,3) (12,4)
2 (4,11) (6,9)
2 null null
3 (10,13) (10,12)
0 (2,1) (4,3)
0 (4,3) (6,3)
0 null null
1 (15,4) (13,2)
1 (13,2) (11,2)
1 null null
2 (1,12) (3,10)
2 null null
3 (10,12) (11,13)
0 (0,1) (0,0)
1 (11,0) (12,0)
2 (0,13) (1,12)
3 (12,14) (12,15)
0 (2,2) (2,1)
1 (14,5) (14,4)
2 (4,12) (5,11)
3 (11,15) (12,14)
0 (6,2) (6,4)
0 (6,4) (4,2)
0 (4,2) (6,4)
0 (6,4) (4,2)
0 (4,2) (6,4)
0 null null
1 (15,2) (14,2)
2 (4,13) (5,13)
3 (14,11) (13,11)
0 (0,2) (0,4)
0 null null
1 (12,0) (13,0)
2 (3,14) (4,13)
3 (15,12) (14,11)
0 (3,2) (3,3)
1 (14,4) (15,4)
GAMEOVER USER CANCEL
UNDECIDED
# Game ended: Mon Apr 07 12:32:10 EDT 2014
