# Server version 0.08 running on GOLDEN.gateway.2wire.net:8123
# Game ID: 103
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Mon Apr 07 16:39:23 EDT 2014
# Starting at move 86
# Player 1: Player-0, 'Human', running on GOLDEN.gateway.2wire.net
# Player 2: Player-1, 'random', running on GOLDEN.gateway.2wire.net
# Player 3: Player-2, 'random', running on GOLDEN.gateway.2wire.net
# Player 4: Player-3, 'random', running on GOLDEN.gateway.2wire.net
START Player-0 Human
START Player-1 random
START Player-2 random
START Player-3 random
0 (2,2) (3,3)
1 (14,3) (13,4)
2 (1,12) (2,11)
3 (13,13) (12,12)
0 (0,0) (2,2)
0 (2,2) (4,4)
0 null null
1 (14,1) (14,3)
1 null null
2 (0,13) (1,12)
3 (15,15) (13,13)
3 (13,13) (11,11)
3 null null
0 (0,3) (0,4)
1 (13,2) (13,3)
2 (2,13) (3,13)
3 (12,15) (12,13)
3 (12,13) (12,11)
3 (12,11) (10,11)
3 null null
0 (2,0) (0,0)
0 (0,0) (2,2)
0 (2,2) (2,0)
0 null null
1 (14,2) (12,4)
1 null null
2 (0,12) (2,12)
2 (2,12) (4,14)
2 null null
3 (15,12) (13,12)
3 (13,12) (11,12)
3 (11,12) (9,10)
3 null null
0 (0,2) (2,2)
0 (2,2) (4,0)
0 null null
1 (15,1) (14,1)
2 (3,13) (5,15)
2 (5,15) (3,13)
2 null null
3 (11,11) (10,10)
0 (4,0) (2,2)
0 (2,2) (0,2)
0 (0,2) (0,0)
0 (0,0) (2,2)
0 null null
1 (13,1) (12,2)
2 (2,14) (4,12)
2 null null
3 (15,13) (13,13)
3 (13,13) (11,11)
3 (11,11) (9,9)
3 null null
0 (1,1) (0,2)
1 (13,4) (13,2)
1 null null
2 (4,12) (3,11)
3 (13,15) (13,13)
3 (13,13) (11,11)
3 (11,11) (9,11)
3 null null
0 (3,1) (4,1)
1 (14,3) (12,3)
1 (12,3) (12,5)
1 null null
2 (3,14) (3,12)
2 null null
3 (14,15) (12,13)
3 (12,13) (12,11)
3 null null
0 (2,1) (0,3)
0 (0,3) (2,3)
0 (2,3) (2,1)
0 (2,1) (0,3)
0 null null
1 (13,2) (11,2)
1 null null
2 (1,14) (0,13)
3 (15,14) (13,12)
3 (13,12) (11,10)
3 null null
0 (0,3) (2,3)
0 null null
1 (11,2) (10,2)
2 (0,13) (0,12)
3 (9,11) (9,12)
GAMEOVER USER CANCEL
UNDECIDED
# Game ended: Mon Apr 07 16:39:26 EDT 2014
