# Server version 0.08 running on GOLDEN.gateway.2wire.net:8123
# Game ID: 111
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Mon Apr 07 16:49:07 EDT 2014
# Player 1: Player-0, 's260520039Player', running on 127.0.0.1
# Player 2: Player-1, 's260520039Player', running on 127.0.0.1
# Player 3: Player-2, 's260520039Player', running on 127.0.0.1
# Player 4: Player-3, 's260520039Player', running on 127.0.0.1
START Player-0 s260520039Player
START Player-1 s260520039Player
START Player-2 s260520039Player
START Player-3 s260520039Player
0 (2,2) (3,3)
1 (13,2) (12,3)
2 (2,13) (3,12)
3 (13,13) (12,12)
0 (0,0) (2,2)
0 (2,2) (4,4)
0 null null
1 (15,0) (13,2)
1 (13,2) (11,4)
1 null null
2 (0,15) (2,13)
2 (2,13) (4,11)
2 null null
3 (15,15) (13,13)
3 (13,13) (11,11)
3 null null
0 (0,3) (2,3)
0 (2,3) (4,3)
0 (4,3) (4,5)
0 null null
1 (15,3) (13,3)
1 (13,3) (11,3)
1 (11,3) (11,5)
1 null null
2 (0,12) (2,12)
2 (2,12) (4,12)
2 (4,12) (4,10)
2 null null
3 (15,12) (13,12)
3 (13,12) (11,12)
3 (11,12) (11,10)
3 null null
0 (4,4) (4,3)
1 (12,0) (12,2)
1 (12,2) (12,4)
1 (12,4) (10,6)
1 null null
2 (2,15) (0,15)
2 null null
3 (11,10) (11,9)
0 (0,2) (0,0)
0 null null
1 (13,0) (15,0)
1 (15,0) (13,2)
1 null null
2 (4,10) (4,9)
3 (15,14) (15,12)
3 (15,12) (13,12)
3 null null
0 (3,3) (2,3)
1 (13,2) (13,0)
1 null null
2 (0,15) (2,15)
2 (2,15) (4,13)
2 null null
3 (13,15) (15,15)
3 (15,15) (13,13)
3 (13,13) (13,15)
3 (13,15) (15,15)
3 (15,15) (13,13)
3 (13,13) (13,15)
3 (13,15) (15,15)
3 (15,15) (13,13)
3 (13,13) (13,15)
3 (13,15) (15,15)
3 null null
0 (1,3) (1,4)
1 (13,1) (15,3)
1 (15,3) (13,3)
1 null null
2 (1,12) (2,13)
3 (15,15) (13,15)
3 null null
0 (1,2) (3,4)
0 (3,4) (5,6)
0 null null
1 (13,0) (15,0)
1 (15,0) (13,2)
1 (13,2) (15,4)
1 null null
2 (0,13) (0,15)
2 null null
3 (13,14) (15,14)
3 (15,14) (15,12)
3 null null
0 (1,4) (1,3)
1 (14,0) (13,0)
2 (3,15) (3,13)
2 (3,13) (3,11)
2 null null
3 (13,12) (11,12)
3 (11,12) (11,10)
3 (11,10) (11,8)
3 null null
0 (1,3) (0,3)
1 (10,6) (11,7)
2 (3,12) (3,10)
2 null null
3 (15,12) (15,14)
3 (15,14) (13,12)
3 (13,12) (15,12)
3 null null
0 (3,1) (4,2)
1 (15,1) (15,3)
1 (15,3) (13,1)
1 (13,1) (15,1)
1 null null
2 (3,10) (3,12)
2 (3,12) (5,10)
2 null null
3 (15,12) (15,14)
3 (15,14) (13,12)
3 (13,12) (11,12)
3 (11,12) (11,10)
3 null null
0 (2,0) (2,2)
0 (2,2) (2,4)
0 null null
1 (13,3) (15,3)
1 null null
2 (1,14) (3,12)
2 null null
3 (14,14) (13,14)
0 (1,1) (3,1)
0 (3,1) (5,3)
0 null null
1 (11,4) (12,5)
2 (2,14) (2,12)
2 (2,12) (4,10)
2 (4,10) (6,10)
2 null null
3 (11,8) (12,7)
0 (2,3) (1,3)
1 (11,7) (11,6)
2 (3,14) (5,12)
2 (5,12) (3,10)
2 (3,10) (5,8)
2 null null
3 (12,15) (12,13)
3 (12,13) (12,11)
3 (12,11) (10,11)
3 null null
0 (5,6) (4,6)
1 (15,2) (15,0)
1 null null
2 (1,13) (2,14)
3 (11,9) (10,8)
0 (1,3) (3,5)
0 (3,5) (5,7)
0 (5,7) (5,9)
0 (5,9) (5,11)
0 null null
1 (15,4) (15,2)
1 (15,2) (13,2)
1 (13,2) (15,4)
1 null null
2 (0,15) (2,15)
2 null null
3 (11,10) (11,12)
3 null null
0 (5,11) (5,9)
0 null null
1 (15,4) (15,2)
1 null null
2 (3,11) (5,11)
2 (5,11) (7,9)
2 null null
3 (14,13) (12,15)
3 null null
0 (4,5) (4,7)
0 (4,7) (6,9)
0 null null
1 (15,0) (13,2)
1 (13,2) (11,0)
1 null null
2 (3,12) (1,14)
2 (1,14) (3,14)
2 (3,14) (1,12)
2 null null
3 (12,15) (14,13)
3 (14,13) (14,11)
3 null null
0 (0,0) (2,0)
0 (2,0) (2,2)
0 null null
1 (13,0) (11,2)
1 null null
2 (4,13) (4,14)
3 (10,11) (12,13)
3 (12,13) (12,15)
3 (12,15) (14,13)
3 null null
0 (6,9) (6,11)
0 null null
1 (11,5) (11,7)
1 (11,7) (9,9)
1 null null
2 (4,11) (3,12)
3 (14,15) (12,15)
3 (12,15) (12,13)
3 null null
0 (5,3) (3,1)
0 (3,1) (1,1)
0 null null
1 (15,2) (15,0)
1 (15,0) (13,2)
1 (13,2) (15,4)
1 null null
2 (1,15) (3,15)
2 (3,15) (1,13)
2 (1,13) (3,13)
2 (3,13) (1,15)
2 null null
3 (12,13) (14,15)
3 null null
0 (1,0) (1,2)
0 null null
1 (14,2) (14,4)
1 null null
2 (1,12) (3,14)
2 (3,14) (5,14)
2 null null
3 (13,14) (11,14)
3 null null
0 (4,3) (3,4)
1 (15,4) (15,2)
1 (15,2) (15,0)
1 (15,0) (13,2)
1 null null
2 (5,10) (4,10)
3 (12,12) (10,10)
3 null null
0 (1,1) (1,3)
0 (1,3) (3,1)
0 null null
1 (14,4) (14,2)
1 null null
2 (4,10) (3,11)
3 (14,15) (12,15)
3 (12,15) (12,13)
3 (12,13) (10,11)
3 (10,11) (10,9)
3 (10,9) (10,7)
3 null null
0 (2,2) (3,2)
1 (12,5) (11,5)
2 (4,14) (4,15)
3 (13,15) (12,15)
0 (3,1) (1,1)
0 null null
1 (11,5) (12,4)
2 (2,14) (2,12)
2 null null
3 (10,7) (11,8)
0 (1,1) (1,3)
0 (1,3) (3,5)
0 null null
1 (15,3) (13,3)
1 (13,3) (11,5)
1 (11,5) (11,7)
1 (11,7) (11,9)
1 (11,9) (9,7)
1 null null
2 (5,8) (5,10)
2 null null
3 (12,7) (12,8)
0 (2,1) (4,3)
0 (4,3) (4,1)
0 null null
1 (12,4) (13,4)
2 (2,12) (2,11)
3 (12,15) (12,13)
3 (12,13) (10,15)
3 null null
0 (0,1) (2,3)
0 (2,3) (2,5)
0 null null
1 (9,9) (8,8)
2 (3,11) (4,10)
3 (11,14) (13,14)
3 (13,14) (15,12)
3 null null
0 (1,2) (2,1)
1 (11,2) (10,1)
2 (1,15) (1,14)
3 (15,13) (15,11)
3 null null
0 (5,9) (6,9)
1 (11,6) (12,6)
2 (7,9) (5,11)
2 null null
3 (11,12) (10,11)
0 (6,9) (7,8)
1 (15,1) (14,0)
2 (6,10) (7,11)
3 (14,13) (15,14)
0 (4,2) (4,0)
0 (4,0) (2,0)
0 null null
1 (14,3) (12,5)
1 (12,5) (12,7)
GAMEOVER DISCONNECTION Player-3
WINNER Player-1
# Game ended: Mon Apr 07 16:49:24 EDT 2014
