# Server version 0.08 running on GOLDEN.gateway.2wire.net:8123
# Game ID: 119
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Mon Apr 07 17:09:42 EDT 2014
# Player 1: Player-0, 'Human', running on GOLDEN.gateway.2wire.net
# Player 2: Player-1, 'random', running on GOLDEN.gateway.2wire.net
# Player 3: Player-2, 'random', running on GOLDEN.gateway.2wire.net
# Player 4: Player-3, 'random', running on GOLDEN.gateway.2wire.net
START Player-0 Human
START Player-1 random
START Player-2 random
START Player-3 random
0 (2,2) (3,3)
1 (12,0) (11,1)
2 (2,13) (4,15)
2 (4,15) (2,13)
2 (2,13) (4,15)
2 null null
3 (13,13) (12,12)
0 (0,0) (2,2)
0 (2,2) (4,4)
0 null null
1 (14,1) (12,3)
1 null null
2 (1,13) (2,12)
3 (13,15) (11,15)
3 null null
0 (0,3) (2,3)
0 (2,3) (4,3)
0 (4,3) (4,5)
0 null null
1 (13,0) (12,0)
2 (3,14) (4,13)
3 (13,14) (11,14)
3 (11,14) (13,14)
3 (13,14) (11,14)
3 (11,14) (13,14)
3 (13,14) (11,14)
3 (11,14) (13,14)
3 (13,14) (11,14)
3 (11,14) (13,14)
3 (13,14) (11,14)
3 (11,14) (13,14)
3 (13,14) (11,14)
3 (11,14) (13,14)
3 (13,14) (11,14)
3 null null
0 (3,0) (3,2)
0 (3,2) (3,4)
0 (3,4) (5,4)
0 null null
1 (14,0) (14,1)
2 (2,14) (1,13)
3 (12,12) (11,13)
0 (1,0) (3,2)
0 (3,2) (3,4)
0 (3,4) (5,6)
0 null null
1 (15,2) (13,0)
1 (13,0) (11,2)
1 null null
2 (1,12) (1,11)
3 (15,12) (13,12)
3 (13,12) (15,12)
3 (15,12) (13,12)
3 (13,12) (15,12)
3 (15,12) (13,12)
3 (13,12) (15,12)
3 (15,12) (13,14)
3 (13,14) (15,12)
3 (15,12) (13,12)
3 null null
0 (0,2) (2,4)
0 (2,4) (0,2)
0 null null
1 (11,1) (10,2)
2 (0,12) (1,12)
3 (11,13) (11,12)
0 (0,1) (2,3)
0 (2,3) (4,3)
0 (4,3) (6,5)
0 null null
1 (12,1) (11,0)
2 (0,14) (0,12)
2 (0,12) (0,14)
2 (0,14) (0,12)
2 (0,12) (2,14)
2 (2,14) (0,12)
2 null null
3 (11,15) (10,14)
0 (5,6) (6,6)
1 (12,3) (11,3)
2 (2,12) (0,14)
2 (0,14) (2,12)
2 (2,12) (0,10)
2 (0,10) (2,12)
2 (2,12) (0,10)
2 (0,10) (2,12)
2 (2,12) (0,14)
2 (0,14) (2,12)
2 (2,12) (0,14)
2 null null
3 (11,14) (12,13)
