# Server version 0.08 running on GOLDEN.gateway.2wire.net:8123
# Game ID: 121
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Mon Apr 07 18:18:45 EDT 2014
# Player 1: Player-0, 'random', running on GOLDEN.gateway.2wire.net
# Player 2: Player-1, 'random', running on GOLDEN.gateway.2wire.net
# Player 3: Player-2, 'random', running on GOLDEN.gateway.2wire.net
# Player 4: Player-3, 'random', running on GOLDEN.gateway.2wire.net
START Player-0 random
START Player-1 random
START Player-2 random
START Player-3 random
0 (2,1) (2,3)
0 null null
1 (15,3) (13,3)
1 (13,3) (15,3)
1 null null
2 (0,12) (1,11)
3 (15,12) (13,12)
3 (13,12) (15,12)
3 (15,12) (13,12)
3 (13,12) (15,12)
3 null null
0 (0,3) (1,4)
1 (13,1) (12,2)
2 (2,14) (4,14)
2 (4,14) (2,14)
2 (2,14) (0,12)
2 (0,12) (2,12)
2 (2,12) (2,14)
2 (2,14) (0,12)
2 (0,12) (2,14)
2 (2,14) (2,12)
2 (2,12) (0,12)
2 (0,12) (2,14)
2 (2,14) (2,12)
2 (2,12) (0,12)
2 (0,12) (2,12)
2 (2,12) (2,14)
2 (2,14) (4,14)
2 null null
3 (13,14) (11,14)
3 null null
0 (2,0) (4,0)
0 null null
1 (14,3) (13,4)
2 (1,12) (2,11)
3 (14,12) (15,11)
0 (0,0) (2,0)
0 (2,0) (0,0)
0 null null
1 (13,2) (14,3)
2 (3,14) (3,13)
3 (14,13) (13,12)
0 (2,3) (3,3)
1 (13,0) (13,1)
2 (2,11) (3,12)
3 (13,13) (14,13)
0 (0,1) (0,3)
0 (0,3) (2,3)
0 (2,3) (0,3)
0 (0,3) (2,1)
0 null null
1 (12,2) (11,2)
2 (3,12) (2,12)
3 (14,14) (13,14)
0 (4,0) (5,1)
1 (12,0) (11,1)
2 (2,12) (2,14)
2 (2,14) (2,12)
2 (2,12) (2,14)
2 (2,14) (4,12)
2 (4,12) (2,14)
2 (2,14) (2,12)
2 (2,12) (0,10)
2 null null
3 (14,13) (14,14)
0 (1,1) (2,0)
1 (11,1) (11,0)
2 (1,13) (2,14)
3 (15,12) (15,10)
3 null null
0 (2,2) (1,1)
1 (14,1) (13,0)
2 (2,13) (3,14)
3 (15,13) (14,13)
0 (1,4) (1,5)
1 (14,2) (12,0)
1 (12,0) (14,2)
1 (14,2) (12,0)
1 null null
2 (0,10) (1,9)
3 (15,15) (15,13)
3 (15,13) (13,13)
3 null null
0 (1,3) (0,4)
1 (13,4) (13,5)
2 (0,13) (1,13)
3 (11,14) (11,13)
0 (3,1) (4,1)
1 (15,1) (14,2)
2 (1,9) (2,10)
3 (14,13) (12,11)
3 (12,11) (14,13)
3 (14,13) (12,13)
3 (12,13) (10,13)
3 null null
0 (0,2) (0,1)
1 (13,5) (14,6)
2 (1,13) (1,12)
3 (13,13) (14,13)
0 (5,1) (6,2)
1 (14,3) (13,3)
2 (1,11) (2,12)
3 (13,12) (12,11)
0 (1,1) (3,1)
0 (3,1) (1,1)
0 null null
1 (14,2) (13,2)
2 (3,14) (5,14)
2 (5,14) (3,14)
2 (3,14) (3,12)
2 null null
3 (15,10) (14,10)
0 (0,4) (1,3)
1 (15,2) (14,1)
2 (4,14) (5,14)
3 (14,13) (14,12)
0 (3,3) (2,2)
1 (11,2) (10,3)
2 (3,12) (3,14)
2 (3,14) (3,12)
2 (3,12) (3,14)
2 (3,14) (3,12)
2 (3,12) (3,14)
2 null null
3 (12,11) (13,10)
0 (2,1) (2,3)
0 (2,3) (0,3)
0 (0,3) (2,3)
0 (2,3) (0,3)
0 (0,3) (2,1)
0 null null
1 (14,6) (13,6)
2 (1,12) (0,12)
3 (11,13) (12,12)
0 (6,2) (5,3)
1 (13,3) (12,2)
2 (2,14) (1,13)
3 (12,12) (11,12)
0 (2,2) (3,3)
1 (15,3) (14,2)
2 (1,13) (0,13)
3 (14,15) (14,13)
3 (14,13) (14,15)
3 null null
0 (3,3) (4,2)
1 (12,1) (14,3)
1 (14,3) (12,1)
1 null null
2 (5,14) (4,13)
3 (14,12) (14,11)
0 (5,3) (6,2)
1 (13,2) (15,2)
1 (15,2) (13,2)
1 (13,2) (11,2)
1 (11,2) (13,2)
1 null null
2 (3,14) (2,14)
3 (15,11) (13,9)
3 (13,9) (15,11)
3 (15,11) (13,9)
3 null null
0 (2,0) (3,1)
1 (13,6) (12,7)
2 (1,14) (2,13)
3 (13,14) (13,13)
0 (1,2) (2,3)
1 (14,2) (13,3)
2 (0,12) (1,11)
3 (12,14) (11,14)
0 (2,1) (3,2)
1 (13,2) (14,3)
2 (4,13) (3,14)
3 (11,12) (10,12)
0 (1,1) (0,2)
1 (10,3) (11,3)
2 (2,10) (1,10)
3 (10,12) (9,13)
0 (6,2) (7,1)
