# Server version 0.08 running on GOLDEN.gateway.2wire.net:8123
# Game ID: 154
# Board class: halma.CCBoard
# Timeout: 10000
# Date: Mon Apr 07 22:55:19 EDT 2014
# Player 1: Player-0, 'random', running on GOLDEN.gateway.2wire.net
# Player 2: Player-1, 'random', running on GOLDEN.gateway.2wire.net
# Player 3: Player-2, 'random', running on GOLDEN.gateway.2wire.net
# Player 4: Player-3, 's260520039Player', running on 127.0.0.1
START Player-0 random
START Player-1 random
START Player-2 random
START Player-3 s260520039Player
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (4,0)
0 null null
1 (15,3) (14,4)
2 (1,12) (2,11)
3 (13,13) (12,12)
0 (1,2) (2,3)
1 (14,3) (14,5)
1 (14,5) (14,3)
1 (14,3) (14,5)
1 (14,5) (14,3)
1 null null
2 (2,11) (1,10)
3 (15,15) (13,13)
3 (13,13) (11,11)
3 null null
0 (0,1) (1,2)
1 (14,4) (15,4)
2 (2,15) (4,15)
2 (4,15) (2,15)
2 null null
3 (15,12) (13,12)
3 (13,12) (11,12)
3 (11,12) (11,10)
3 null null
0 (3,1) (4,1)
1 (13,1) (13,3)
1 (13,3) (15,3)
1 (15,3) (13,3)
1 (13,3) (13,1)
1 (13,1) (15,3)
1 (15,3) (13,3)
1 (13,3) (15,3)
1 (15,3) (13,3)
1 (13,3) (13,1)
1 (13,1) (15,3)
1 (15,3) (13,1)
1 null null
2 (1,13) (3,13)
2 (3,13) (1,13)
2 (1,13) (3,13)
2 null null
3 (12,14) (12,13)
0 (0,2) (2,4)
0 (2,4) (2,2)
0 (2,2) (0,2)
0 (0,2) (0,4)
0 (0,4) (0,2)
0 (0,2) (2,2)
0 null null
1 (12,1) (11,0)
2 (0,13) (0,11)
2 null null
3 (12,13) (12,11)
3 (12,11) (10,11)
3 null null
0 (2,3) (1,4)
1 (15,4) (14,5)
2 (2,15) (4,13)
2 null null
3 (15,14) (13,12)
3 (13,12) (11,12)
3 (11,12) (9,10)
3 null null
0 (1,3) (0,4)
1 (14,5) (14,6)
2 (4,13) (5,14)
3 (13,14) (15,14)
3 (15,14) (15,12)
3 (15,12) (13,12)
3 null null
0 (0,3) (2,5)
0 (2,5) (0,3)
0 null null
1 (11,0) (10,0)
2 (0,11) (0,10)
3 (13,15) (15,15)
3 null null
0 (1,1) (1,3)
0 null null
1 (12,0) (11,0)
2 (2,14) (4,14)
2 (4,14) (6,14)
2 (6,14) (4,14)
2 (4,14) (2,14)
2 null null
3 (10,11) (12,11)
3 (12,11) (10,9)
3 (10,9) (8,11)
3 null null
0 (2,2) (3,3)
1 (11,0) (12,0)
2 (1,10) (2,11)
3 (14,13) (12,11)
3 (12,11) (10,9)
3 null null
0 (0,3) (0,5)
0 (0,5) (2,3)
0 (2,3) (0,5)
0 null null
1 (14,1) (12,1)
1 null null
2 (0,14) (1,13)
3 (10,9) (12,11)
3 (12,11) (14,13)
3 null null
0 (1,2) (0,3)
1 (14,3) (14,4)
2 (2,14) (2,15)
3 (13,12) (15,14)
3 (15,14) (15,12)
3 (15,12) (13,14)
3 (13,14) (15,14)
3 (15,14) (15,12)
3 (15,12) (13,14)
3 (13,14) (15,14)
3 (15,14) (15,12)
3 null null
0 (3,0) (5,2)
0 null null
1 (10,0) (9,1)
2 (3,13) (2,12)
3 (15,15) (13,15)
3 (13,15) (11,15)
3 null null
0 (2,0) (3,1)
1 (14,0) (12,2)
1 (12,2) (14,0)
1 (14,0) (12,2)
1 (12,2) (14,0)
1 (14,0) (12,2)
1 null null
2 (1,13) (3,11)
2 (3,11) (1,11)
2 (1,11) (3,11)
2 (3,11) (1,11)
2 null null
3 (15,12) (15,14)
3 null null
0 (3,1) (5,1)
0 (5,1) (3,1)
0 null null
1 (13,2) (11,0)
1 (11,0) (13,2)
1 (13,2) (11,2)
1 null null
2 (0,15) (0,14)
3 (15,14) (13,12)
3 (13,12) (11,12)
3 null null
0 (3,3) (4,2)
1 (13,1) (13,2)
2 (1,11) (1,12)
3 (15,13) (13,15)
3 (13,15) (15,15)
3 (15,15) (13,13)
3 (13,13) (15,13)
3 null null
0 (1,4) (2,5)
1 (12,1) (13,1)
2 (0,14) (2,14)
2 (2,14) (0,14)
2 null null
3 (11,15) (13,15)
3 (13,15) (15,15)
3 null null
0 (1,0) (1,1)
1 (14,4) (15,3)
2 (1,15) (2,14)
3 (12,12) (10,10)
3 (10,10) (8,10)
3 (8,10) (8,12)
3 null null
0 (1,3) (2,2)
1 (13,2) (12,3)
2 (0,14) (1,15)
3 (15,13) (13,15)
GAMEOVER DISCONNECTION Player-3
WINNER Player-1
# Game ended: Mon Apr 07 22:55:30 EDT 2014
