# Server version 0.08 running on 142.157.113.15:8123
# Game ID: 197
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Tue Apr 08 12:15:11 EDT 2014
# Player 1: Player-0, 'random', running on 142.157.113.15
# Player 2: Player-1, 's260520039Player', running on 127.0.0.1
# Player 3: Player-2, 'Human', running on 142.157.113.15
# Player 4: Player-3, 'random', running on 142.157.113.15
START Player-0 random
START Player-1 s260520039Player
START Player-2 Human
START Player-3 random
0 (1,2) (3,2)
0 (3,2) (1,2)
0 (1,2) (3,2)
0 null null
1 (13,2) (12,3)
2 (2,13) (3,12)
3 (12,14) (11,15)
0 (0,3) (1,4)
1 (15,0) (13,2)
1 (13,2) (11,4)
1 null null
2 (3,12) (4,11)
3 (15,13) (15,11)
3 (15,11) (15,13)
3 (15,13) (15,11)
3 null null
0 (0,2) (2,4)
0 (2,4) (0,4)
0 (0,4) (2,4)
0 (2,4) (0,4)
0 null null
1 (15,3) (13,3)
1 (13,3) (11,3)
1 (11,3) (11,5)
1 null null
2 (4,11) (5,10)
3 (14,13) (14,11)
3 null null
0 (1,4) (2,3)
1 (12,1) (12,2)
2 (5,10) (6,9)
3 (11,15) (10,14)
0 (3,1) (4,1)
1 (12,2) (12,4)
1 (12,4) (10,4)
1 null null
2 (6,9) (7,8)
3 (14,11) (13,12)
0 (1,3) (3,1)
0 (3,1) (5,1)
0 null null
1 (15,1) (13,3)
1 (13,3) (11,3)
1 (11,3) (9,5)
1 null null
2 (7,8) (8,9)
3 (13,14) (12,13)
0 (4,1) (6,1)
0 null null
GAMEOVER TIMEOUT Player-1
WINNER Player-0
# Game ended: Tue Apr 08 12:15:40 EDT 2014
