# Server version 0.08 running on 142.157.113.143:8123
# Game ID: 202
# Board class: halma.CCBoard
# Timeout: 100000
# Date: Tue Apr 08 16:18:57 EDT 2014
# Player 1: Player-0, 's260520039Player', running on 127.0.0.1
# Player 2: Player-1, 's260520039Player', running on 127.0.0.1
# Player 3: Player-2, 'random', running on 142.157.113.143
# Player 4: Player-3, 'random', running on 142.157.113.143
START Player-0 s260520039Player
START Player-1 s260520039Player
START Player-2 random
START Player-3 random
0 (2,2) (3,3)
1 (13,2) (12,3)
2 (1,12) (1,11)
3 (13,14) (11,14)
3 (11,14) (13,14)
3 null null
0 (0,0) (2,2)
0 (2,2) (4,4)
0 null null
1 (15,0) (13,2)
1 (13,2) (11,4)
1 null null
2 (1,11) (2,12)
3 (12,15) (11,15)
0 (0,3) (2,3)
0 (2,3) (4,3)
0 (4,3) (4,5)
0 null null
1 (15,3) (13,3)
1 (13,3) (11,3)
1 (11,3) (11,5)
1 null null
2 (3,15) (3,13)
2 (3,13) (1,11)
2 null null
3 (14,13) (13,12)
0 (3,1) (3,2)
1 (12,1) (12,2)
2 (2,12) (2,11)
3 (13,14) (12,13)
0 (3,2) (3,4)
0 (3,4) (5,4)
0 null null
1 (12,2) (12,4)
1 (12,4) (10,4)
1 null null
2 (1,13) (3,15)
2 (3,15) (1,13)
2 null null
3 (12,14) (11,13)
0 (1,0) (3,2)
0 (3,2) (3,4)
0 (3,4) (5,6)
0 null null
1 (15,1) (15,3)
1 (15,3) (13,3)
1 (13,3) (11,3)
1 (11,3) (9,5)
1 null null
2 (3,14) (4,13)
3 (14,14) (12,12)
3 (12,12) (12,14)
3 (12,14) (12,12)
3 null null
0 (0,1) (2,3)
0 (2,3) (4,3)
0 (4,3) (6,5)
0 (6,5) (4,7)
0 null null
GAMEOVER DISCONNECTION Player-1
WINNER Player-0
# Game ended: Tue Apr 08 16:19:03 EDT 2014
