# Server version 0.08 running on GOLDEN.gateway.2wire.net:8123
# Game ID: 208
# Board class: halma.CCBoard
# Timeout: 100000
# Date: Tue Apr 08 18:32:37 EDT 2014
# Player 1: Player-0, 's260520039Player', running on 127.0.0.1
# Player 2: Player-1, 'random', running on GOLDEN.gateway.2wire.net
# Player 3: Player-2, 'random', running on GOLDEN.gateway.2wire.net
# Player 4: Player-3, 'random', running on GOLDEN.gateway.2wire.net
START Player-0 s260520039Player
START Player-1 random
START Player-2 random
START Player-3 random
0 (2,2) (3,3)
1 (12,1) (11,0)
2 (2,15) (4,15)
2 (4,15) (2,15)
2 null null
3 (14,14) (12,12)
3 (12,12) (14,14)
3 null null
0 (0,0) (2,2)
0 (2,2) (4,4)
0 null null
1 (12,0) (11,1)
2 (1,12) (2,12)
3 (13,14) (12,13)
0 (0,3) (2,3)
0 (2,3) (4,3)
0 (4,3) (4,5)
0 null null
1 (14,0) (12,2)
1 (12,2) (14,0)
1 (14,0) (12,0)
1 (12,0) (14,0)
1 (14,0) (12,0)
1 null null
2 (2,12) (3,13)
3 (14,14) (12,12)
3 null null
0 (3,1) (3,2)
1 (11,0) (10,0)
2 (2,15) (4,15)
2 null null
3 (15,12) (14,11)
0 (3,2) (3,4)
0 (3,4) (5,4)
0 null null
1 (10,0) (9,0)
2 (2,13) (1,12)
3 (15,14) (14,14)
0 (1,0) (3,2)
0 (3,2) (3,4)
0 (3,4) (5,6)
0 null null
1 (13,1) (12,1)
2 (4,15) (4,14)
3 (13,13) (15,11)
3 (15,11) (13,13)
3 (13,13) (11,11)
3 (11,11) (13,13)
3 null null
0 (0,1) (0,3)
0 (0,3) (2,3)
0 (2,3) (4,3)
0 (4,3) (6,5)
0 (6,5) (4,7)
0 null null
1 (14,2) (14,0)
1 (14,0) (14,2)
1 null null
2 (0,12) (2,12)
2 null null
3 (12,12) (11,12)
0 (4,5) (6,7)
0 null null
1 (13,0) (13,1)
2 (2,14) (0,12)
2 (0,12) (2,14)
2 (2,14) (0,12)
2 null null
3 (15,13) (15,14)
0 (2,1) (0,3)
0 (0,3) (2,3)
0 (2,3) (4,3)
0 (4,3) (6,5)
0 null null
1 (12,1) (13,0)
2 (2,12) (2,11)
3 (14,15) (13,14)
0 (4,4) (5,5)
1 (9,0) (8,1)
2 (4,14) (5,13)
3 (14,12) (13,11)
0 (5,4) (7,6)
0 (7,6) (5,8)
0 null null
1 (14,3) (13,3)
2 (1,14) (2,13)
3 (14,11) (13,12)
0 (0,2) (2,2)
0 (2,2) (4,4)
0 (4,4) (6,6)
0 (6,6) (6,8)
0 null null
1 (14,2) (12,2)
1 (12,2) (10,0)
1 null null
2 (2,13) (4,15)
2 null null
3 (13,15) (11,15)
3 (11,15) (13,15)
3 null null
0 (5,5) (5,7)
0 (5,7) (7,9)
0 null null
1 (14,1) (14,2)
2 (3,13) (2,13)
3 (12,14) (12,12)
3 (12,12) (14,12)
3 null null
0 (2,0) (0,2)
0 (0,2) (2,4)
0 (2,4) (4,2)
0 null null
1 (13,1) (14,0)
2 (3,14) (3,13)
3 (14,13) (14,11)
3 null null
0 (1,2) (2,3)
1 (11,1) (10,1)
2 (0,12) (2,12)
2 null null
3 (12,13) (11,14)
0 (5,8) (7,8)
0 (7,8) (7,10)
0 null null
1 (15,3) (13,1)
1 null null
2 (0,15) (2,15)
2 (2,15) (0,15)
2 null null
3 (13,14) (14,15)
0 (5,6) (7,8)
0 null null
1 (14,2) (14,3)
2 (4,15) (5,15)
3 (11,14) (10,14)
0 (6,8) (8,10)
0 null null
1 (13,3) (12,4)
2 (3,13) (2,14)
3 (15,15) (15,13)
3 (15,13) (15,15)
3 null null
0 (3,0) (4,1)
1 (10,1) (11,2)
2 (5,15) (4,15)
3 (11,12) (10,13)
0 (7,8) (8,9)
1 (15,2) (13,4)
1 (13,4) (11,4)
1 (11,4) (13,4)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 (3,14) (1,14)
2 null null
3 (14,11) (13,10)
0 (4,1) (5,2)
1 (12,0) (12,1)
2 (1,13) (0,12)
3 (10,13) (10,12)
0 (7,10) (8,11)
1 (13,4) (15,2)
1 (15,2) (13,4)
1 (13,4) (11,4)
1 (11,4) (13,4)
1 (13,4) (11,4)
1 (11,4) (13,4)
1 (13,4) (15,2)
1 (15,2) (13,4)
1 (13,4) (11,4)
1 (11,4) (13,4)
1 (13,4) (15,2)
1 null null
2 (0,13) (1,12)
3 (14,12) (12,10)
3 null null
0 (4,2) (5,3)
1 (12,4) (13,3)
2 (4,15) (3,14)
3 (10,14) (10,15)
0 (6,5) (7,6)
1 (13,1) (12,0)
2 (1,12) (1,13)
3 (10,12) (11,11)
0 (5,2) (6,3)
1 (13,0) (11,0)
1 (11,0) (9,0)
1 null null
