# Server version 0.08 running on GOLDEN.gateway.2wire.net:8123
# Game ID: 216
# Board class: halma.CCBoard
# Timeout: 100000
# Date: Tue Apr 08 18:40:18 EDT 2014
# Player 1: Player-0, 's260520039Player', running on 127.0.0.1
# Player 2: Player-1, 's260520039Player', running on 127.0.0.1
# Player 3: Player-2, 'random', running on GOLDEN.gateway.2wire.net
# Player 4: Player-3, 'random', running on GOLDEN.gateway.2wire.net
START Player-0 s260520039Player
START Player-1 s260520039Player
START Player-2 random
START Player-3 random
0 (2,2) (3,3)
1 (13,2) (12,3)
2 (0,13) (0,11)
2 (0,11) (0,13)
2 (0,13) (0,11)
2 (0,11) (0,13)
2 null null
3 (15,13) (13,11)
3 (13,11) (15,13)
3 null null
0 (0,0) (2,2)
0 (2,2) (4,4)
0 null null
1 (15,0) (13,2)
1 (13,2) (11,4)
1 null null
2 (3,15) (3,13)
2 (3,13) (3,15)
2 (3,15) (3,13)
2 null null
3 (13,13) (13,12)
0 (0,3) (2,3)
0 (2,3) (4,3)
0 (4,3) (4,5)
0 null null
1 (15,3) (13,3)
1 (13,3) (11,3)
1 (11,3) (11,5)
1 null null
2 (0,12) (1,11)
3 (15,12) (14,11)
0 (3,1) (3,2)
1 (12,1) (12,2)
2 (1,11) (1,10)
3 (12,15) (12,13)
3 null null
0 (3,2) (3,4)
0 (3,4) (5,4)
0 null null
1 (12,2) (12,4)
1 (12,4) (10,4)
1 null null
2 (1,13) (2,12)
3 (14,11) (13,11)
0 (1,0) (3,2)
0 (3,2) (3,4)
0 (3,4) (5,6)
0 null null
1 (15,1) (13,3)
1 (13,3) (11,3)
1 (11,3) (9,5)
1 null null
2 (2,14) (4,12)
2 (4,12) (2,14)
2 (2,14) (4,14)
2 null null
3 (14,13) (15,12)
0 (0,1) (0,3)
0 (0,3) (2,3)
0 (2,3) (4,3)
0 (4,3) (6,5)
0 (6,5) (4,7)
0 null null
1 (10,4) (8,6)
1 null null
2 (4,14) (2,14)
2 (2,14) (4,14)
2 (4,14) (2,14)
2 (2,14) (4,14)
2 (4,14) (2,14)
2 (2,14) (4,12)
2 null null
3 (13,11) (14,10)
0 (4,5) (6,7)
0 null null
1 (11,4) (10,5)
2 (1,10) (0,11)
3 (14,12) (12,12)
3 null null
0 (0,2) (2,4)
0 (2,4) (4,2)
0 null null
1 (14,0) (12,2)
1 (12,2) (12,4)
1 (12,4) (10,6)
1 (10,6) (8,4)
1 null null
2 (1,14) (3,12)
2 (3,12) (5,12)
2 (5,12) (3,12)
2 (3,12) (5,12)
2 (5,12) (3,12)
2 (3,12) (5,12)
2 null null
3 (12,13) (11,12)
0 (1,1) (3,1)
0 (3,1) (5,3)
0 (5,3) (5,5)
0 (5,5) (5,7)
0 (5,7) (7,7)
0 null null
1 (14,1) (13,2)
2 (3,13) (3,12)
3 (14,15) (12,13)
3 (12,13) (14,11)
3 (14,11) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,0) (1,0)
0 (1,0) (3,2)
0 (3,2) (3,4)
0 null null
1 (14,3) (13,4)
2 (2,15) (1,14)
3 (14,10) (13,9)
0 (2,1) (0,3)
0 (0,3) (2,3)
0 (2,3) (4,5)
0 (4,5) (6,3)
0 null null
1 (10,5) (9,6)
2 (4,12) (3,13)
3 (12,12) (14,12)
3 (14,12) (12,12)
3 null null
0 (1,2) (2,3)
1 (9,6) (7,6)
1 (7,6) (5,8)
1 (5,8) (3,6)
1 null null
2 (3,13) (3,15)
2 null null
3 (13,9) (14,9)
0 (5,6) (7,8)
0 null null
1 (13,2) (11,4)
1 (11,4) (11,6)
1 null null
2 (3,15) (4,14)
3 (14,9) (15,8)
0 (4,2) (5,3)
1 (13,0) (13,2)
1 (13,2) (11,4)
1 null null
2 (2,12) (4,12)
2 (4,12) (2,12)
2 null null
3 (11,12) (10,11)
0 (5,4) (5,2)
0 (5,2) (7,4)
0 (7,4) (9,4)
0 (9,4) (9,6)
0 null null
1 (11,6) (10,7)
2 (3,14) (2,15)
3 (12,14) (11,15)
0 (5,3) (3,5)
0 (3,5) (3,7)
0 (3,7) (5,7)
0 null null
1 (8,6) (6,8)
1 (6,8) (4,6)
1 (4,6) (4,8)
1 null null
2 (1,15) (1,13)
2 (1,13) (3,13)
2 null null
3 (10,11) (10,12)
0 (6,3) (7,4)
1 (11,4) (11,6)
1 (11,6) (9,8)
1 null null
2 (5,12) (5,11)
3 (15,8) (15,9)
0 (9,6) (11,8)
0 null null
1 (10,7) (8,9)
1 null null
2 (4,14) (5,13)
3 (13,14) (14,15)
0 (7,8) (9,10)
0 null null
1 (3,6) (2,7)
2 (5,13) (4,13)
3 (13,12) (12,13)
0 (7,4) (9,4)
0 (9,4) (9,6)
0 null null
1 (11,5) (12,4)
2 (4,13) (5,12)
3 (12,12) (13,12)
0 (9,6) (10,7)
1 (12,3) (11,4)
2 (2,13) (4,13)
2 (4,13) (2,11)
2 (2,11) (2,13)
2 (2,13) (2,11)
2 (2,11) (4,13)
2 (4,13) (6,11)
2 null null
3 (11,15) (10,15)
0 (10,7) (12,9)
0 null null
1 (9,5) (9,4)
2 (2,12) (1,11)
3 (12,15) (11,14)
0 (3,4) (4,5)
1 (13,4) (14,4)
2 (0,11) (0,12)
3 (11,14) (12,14)
0 (5,7) (3,7)
0 (3,7) (5,9)
0 null null
1 (11,4) (12,3)
2 (5,12) (4,12)
3 (15,9) (14,10)
0 (3,3) (5,5)
0 null null
1 (9,8) (10,7)
2 (3,13) (2,13)
3 (10,12) (10,11)
0 (9,10) (11,12)
0 (11,12) (13,14)
0 null null
1 (4,8) (5,8)
2 (0,13) (0,11)
2 (0,11) (0,13)
2 null null
3 (10,15) (9,14)
0 (11,8) (13,10)
0 (13,10) (15,10)
0 null null
1 (9,4) (7,4)
1 null null
2 (4,12) (2,12)
2 (2,12) (4,12)
2 (4,12) (2,12)
2 (2,12) (0,10)
2 (0,10) (2,12)
2 (2,12) (0,10)
2 (0,10) (2,12)
2 (2,12) (0,10)
2 null null
3 (12,13) (12,15)
3 null null
0 (4,4) (6,6)
0 (6,6) (8,8)
0 (8,8) (8,10)
0 null null
1 (15,2) (14,3)
2 (2,15) (3,15)
3 (10,11) (9,12)
0 (4,5) (6,5)
0 (6,5) (8,3)
0 (8,3) (8,5)
0 null null
1 (7,4) (6,5)
2 (1,11) (2,11)
3 (13,15) (11,13)
3 null null
0 (5,5) (7,5)
0 (7,5) (9,5)
0 null null
1 (12,3) (13,2)
2 (2,11) (3,11)
3 (15,12) (14,13)
0 (7,7) (8,8)
1 (14,3) (13,4)
2 (2,13) (2,14)
3 (12,14) (11,15)
0 (8,5) (9,6)
1 (6,5) (7,6)
2 (1,12) (0,11)
3 (15,15) (13,13)
3 (13,13) (13,11)
3 (13,11) (15,9)
3 null null
0 (9,6) (11,8)
0 (11,8) (13,10)
0 null null
1 (8,9) (7,10)
2 (5,11) (4,12)
3 (14,14) (14,12)
3 (14,12) (14,14)
3 null null
0 (12,9) (14,11)
0 (14,11) (12,13)
0 (12,13) (10,13)
0 (10,13) (8,15)
0 null null
1 (13,1) (15,3)
1 (15,3) (13,5)
1 (13,5) (11,3)
1 null null
2 (0,11) (1,11)
3 (15,13) (15,15)
3 null null
0 (9,5) (10,6)
1 (10,7) (11,7)
2 (3,11) (2,11)
3 (9,12) (10,13)
0 (10,6) (12,8)
0 null null
1 (7,6) (8,7)
2 (6,11) (8,9)
2 null null
3 (11,13) (10,12)
0 (13,10) (14,11)
1 (7,10) (8,11)
2 (1,14) (1,15)
3 (10,13) (10,14)
0 (2,0) (3,1)
1 (14,4) (14,5)
2 (0,13) (1,13)
3 (10,14) (11,13)
0 (3,1) (4,2)
1 (14,5) (13,6)
2 (1,11) (2,10)
3 (14,10) (13,9)
0 (12,8) (14,10)
0 (14,10) (14,12)
0 null null
1 (13,2) (14,3)
2 (2,11) (2,9)
2 (2,9) (2,11)
2 null null
3 (15,9) (15,11)
3 (15,11) (13,13)
3 (13,13) (13,15)
3 null null
0 (14,12) (15,13)
1 (13,6) (14,7)
2 (4,12) (3,11)
3 (10,12) (9,12)
0 (14,11) (15,12)
1 (8,7) (8,6)
2 (2,14) (3,14)
3 (11,13) (10,12)
0 (6,7) (7,8)
1 (14,7) (14,6)
2 (8,9) (9,10)
3 (9,12) (8,12)
0 (8,8) (9,9)
1 (14,3) (14,4)
2 (1,13) (1,14)
3 (8,12) (9,12)
0 (9,9) (9,11)
0 (9,11) (11,13)
0 null null
1 (8,11) (8,9)
1 null null
2 (3,12) (3,13)
3 (13,9) (14,8)
0 (11,13) (12,14)
GAMEOVER DISCONNECTION Player-1
WINNER Player-0
# Game ended: Tue Apr 08 18:41:06 EDT 2014
