# Server version 0.08 running on GOLDEN.gateway.2wire.net:8123
# Game ID: 218
# Board class: halma.CCBoard
# Timeout: 100000
# Date: Tue Apr 08 18:49:23 EDT 2014
# Player 1: Player-0, 'Human', running on GOLDEN.gateway.2wire.net
# Player 2: Player-1, 's260520039Player', running on 127.0.0.1
# Player 3: Player-2, 'random', running on GOLDEN.gateway.2wire.net
# Player 4: Player-3, 'random', running on GOLDEN.gateway.2wire.net
START Player-0 Human
START Player-1 s260520039Player
START Player-2 random
START Player-3 random
0 (2,2) (3,3)
1 (13,2) (12,3)
2 (2,14) (4,14)
2 null null
3 (14,13) (12,13)
3 null null
0 (1,2) (2,2)
1 (15,0) (13,2)
1 (13,2) (11,4)
1 null null
2 (3,14) (4,13)
3 (13,15) (11,13)
3 (11,13) (13,15)
3 null null
0 (3,1) (4,2)
1 (15,3) (13,3)
1 (13,3) (11,3)
1 (11,3) (11,5)
1 null null
2 (4,13) (3,14)
3 (13,13) (11,15)
3 (11,15) (13,13)
3 (13,13) (11,15)
3 (11,15) (13,13)
3 (13,13) (11,13)
3 null null
0 (4,2) (4,3)
1 (12,1) (12,2)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 null null
3 (15,15) (13,13)
3 (13,13) (11,15)
3 null null
0 (4,3) (5,4)
1 (12,2) (12,4)
1 (12,4) (10,4)
1 null null
2 (2,13) (4,15)
2 (4,15) (2,13)
2 (2,13) (0,11)
2 (0,11) (2,13)
2 (2,13) (0,11)
2 null null
3 (12,15) (14,13)
3 (14,13) (12,15)
3 (12,15) (14,13)
3 (14,13) (12,15)
3 null null
0 (5,4) (5,5)
1 (15,1) (15,3)
1 (15,3) (13,3)
1 (13,3) (11,3)
1 (11,3) (9,5)
1 null null
2 (1,12) (2,11)
3 (15,12) (13,12)
3 (13,12) (15,12)
3 (15,12) (13,12)
3 (13,12) (11,14)
3 null null
GAMEOVER DISCONNECTION Player-1
WINNER Player-0
# Game ended: Tue Apr 08 18:51:17 EDT 2014
