# Server version 0.08 running on GOLDEN.gateway.2wire.net:8123
# Game ID: 219
# Board class: halma.CCBoard
# Timeout: 100000
# Date: Tue Apr 08 18:51:23 EDT 2014
# Player 1: Player-0, 'random', running on GOLDEN.gateway.2wire.net
# Player 2: Player-1, 's260520039Player', running on 127.0.0.1
# Player 3: Player-2, 'Human', running on GOLDEN.gateway.2wire.net
# Player 4: Player-3, 'random', running on GOLDEN.gateway.2wire.net
START Player-0 random
START Player-1 s260520039Player
START Player-2 Human
START Player-3 random
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 null null
1 (13,2) (12,3)
2 (2,13) (3,12)
3 (14,14) (12,12)
3 null null
0 (2,2) (3,2)
1 (15,0) (13,2)
1 (13,2) (11,4)
1 null null
2 (3,12) (4,12)
3 (14,12) (14,14)
3 null null
0 (3,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (11,3)
1 (11,3) (11,5)
1 null null
2 (4,12) (5,12)
3 (12,14) (14,12)
3 (14,12) (12,14)
3 (12,14) (14,12)
3 (14,12) (12,14)
3 null null
0 (1,3) (1,4)
1 (12,1) (12,2)
2 (5,12) (6,12)
3 (12,12) (13,12)
0 (1,1) (2,2)
1 (12,2) (12,4)
1 (12,4) (10,4)
1 null null
2 (6,12) (7,12)
3 (14,14) (14,12)
3 null null
0 (2,0) (4,2)
0 null null
1 (15,1) (13,3)
1 (13,3) (11,3)
1 (11,3) (9,5)
1 null null
GAMEOVER DISCONNECTION Player-1
WINNER Player-0
# Game ended: Tue Apr 08 18:52:34 EDT 2014
