# Server version 0.08 running on GOLDEN.gateway.2wire.net:8123
# Game ID: 220
# Board class: halma.CCBoard
# Timeout: 100000
# Date: Tue Apr 08 18:53:12 EDT 2014
# Player 1: Player-0, 's260520039Player', running on 127.0.0.1
# Player 2: Player-1, 's260520039Player', running on 127.0.0.1
# Player 3: Player-2, 's260520039Player', running on 127.0.0.1
# Player 4: Player-3, 's260520039Player', running on 127.0.0.1
START Player-0 s260520039Player
START Player-1 s260520039Player
START Player-2 s260520039Player
START Player-3 s260520039Player
0 (2,2) (3,3)
1 (13,2) (12,3)
2 (2,13) (3,12)
3 (13,13) (12,12)
0 (0,0) (2,2)
0 (2,2) (4,4)
0 null null
1 (15,0) (13,2)
1 (13,2) (11,4)
1 null null
2 (0,15) (2,13)
2 (2,13) (4,11)
2 null null
3 (15,15) (13,13)
3 (13,13) (11,11)
3 null null
0 (0,3) (2,3)
0 (2,3) (4,3)
0 (4,3) (4,5)
0 null null
1 (15,3) (13,3)
1 (13,3) (11,3)
1 (11,3) (11,5)
1 null null
2 (0,12) (2,12)
2 (2,12) (4,12)
2 (4,12) (4,10)
2 null null
3 (15,12) (13,12)
3 (13,12) (11,12)
3 (11,12) (11,10)
3 null null
0 (3,1) (3,2)
1 (12,1) (12,2)
2 (3,14) (3,13)
3 (12,14) (12,13)
0 (3,2) (3,4)
0 (3,4) (5,4)
0 null null
1 (12,2) (12,4)
1 (12,4) (10,4)
1 null null
2 (3,13) (3,11)
2 (3,11) (5,11)
2 null null
3 (12,13) (12,11)
3 (12,11) (10,11)
3 null null
0 (0,1) (2,3)
0 (2,3) (4,3)
0 (4,3) (6,5)
0 null null
1 (11,4) (10,5)
2 (3,12) (5,10)
2 null null
3 (11,11) (9,11)
3 null null
0 (1,0) (3,2)
0 (3,2) (3,4)
0 (3,4) (5,6)
0 (5,6) (7,4)
0 null null
1 (15,1) (13,3)
1 (13,3) (11,3)
1 (11,3) (9,5)
1 null null
2 (0,14) (2,12)
2 null null
3 (14,15) (12,13)
3 (12,13) (12,11)
3 (12,11) (10,9)
3 null null
0 (5,4) (7,6)
0 null null
1 (10,4) (8,6)
1 (8,6) (6,6)
1 null null
2 (1,12) (2,11)
3 (11,10) (9,8)
3 null null
0 (6,5) (8,7)
0 null null
1 (6,6) (5,7)
2 (1,15) (3,13)
2 (3,13) (1,11)
2 (1,11) (3,11)
2 (3,11) (5,9)
2 null null
3 (15,14) (13,12)
3 (13,12) (11,12)
3 (11,12) (9,10)
3 (9,10) (11,8)
3 null null
0 (2,0) (4,0)
0 null null
1 (14,0) (12,2)
1 (12,2) (12,4)
1 (12,4) (10,6)
1 (10,6) (8,4)
1 (8,4) (6,4)
1 null null
2 (1,13) (3,11)
2 null null
3 (15,13) (13,11)
3 (13,11) (11,13)
3 null null
0 (3,0) (4,1)
1 (14,3) (13,4)
2 (4,10) (6,8)
2 (6,8) (4,6)
2 null null
3 (14,14) (12,14)
3 (12,14) (10,12)
3 (10,12) (8,10)
3 null null
0 (2,1) (3,2)
1 (13,0) (11,0)
1 null null
2 (2,12) (4,10)
2 (4,10) (6,8)
2 null null
3 (11,13) (10,12)
0 (1,2) (2,3)
1 (10,5) (9,6)
2 (3,15) (4,14)
3 (12,15) (11,14)
0 (7,4) (8,5)
1 (11,0) (10,1)
2 (4,11) (6,9)
2 (6,9) (6,7)
2 null null
3 (13,15) (12,14)
0 (4,5) (5,6)
1 (9,6) (7,8)
1 (7,8) (5,8)
1 null null
2 (5,11) (6,10)
3 (12,14) (10,14)
3 null null
0 (0,2) (2,4)
0 (2,4) (4,2)
0 null null
1 (9,5) (7,5)
1 (7,5) (7,7)
1 null null
2 (6,8) (8,6)
2 (8,6) (8,4)
2 null null
3 (10,11) (9,10)
0 (4,1) (4,3)
0 (4,3) (4,5)
0 (4,5) (4,7)
0 (4,7) (6,9)
0 (6,9) (6,11)
0 null null
1 (7,7) (6,8)
2 (8,4) (9,3)
3 (8,10) (7,9)
0 (4,0) (5,1)
1 (11,5) (10,6)
2 (4,6) (6,6)
2 (6,6) (8,6)
2 (8,6) (8,4)
2 (8,4) (10,2)
2 (10,2) (10,0)
2 null null
3 (9,10) (8,9)
0 (4,2) (5,3)
1 (6,8) (4,10)
1 (4,10) (2,12)
1 null null
2 (5,10) (6,9)
3 (10,14) (9,13)
0 (1,1) (2,2)
1 (14,1) (14,3)
1 (14,3) (12,5)
1 null null
2 (6,9) (6,8)
3 (10,9) (10,8)
0 (5,1) (6,2)
1 (12,3) (13,3)
2 (0,13) (1,13)
3 (9,8) (8,8)
0 (7,6) (9,8)
0 (9,8) (7,10)
0 (7,10) (5,12)
0 null null
1 (5,7) (7,7)
1 null null
2 (2,11) (2,10)
3 (12,12) (13,12)
0 (2,2) (4,2)
0 (4,2) (2,4)
0 null null
1 (2,12) (0,14)
1 null null
2 (2,15) (0,13)
2 (0,13) (2,13)
2 null null
3 (9,13) (9,12)
0 (5,12) (4,11)
1 (10,1) (11,2)
2 (2,10) (1,9)
3 (9,11) (11,13)
3 null null
0 (5,6) (7,8)
0 (7,8) (9,10)
0 null null
1 (6,4) (7,4)
2 (6,10) (6,12)
2 null null
3 (8,8) (7,8)
0 (3,2) (3,4)
0 (3,4) (5,4)
0 null null
1 (7,7) (8,6)
2 (2,13) (2,12)
3 (10,8) (9,9)
0 (6,2) (7,3)
1 (11,2) (10,2)
2 (6,12) (7,11)
3 (7,8) (7,7)
0 (5,3) (5,5)
0 null null
1 (5,8) (4,8)
2 (10,0) (9,0)
3 (9,9) (8,10)
0 (4,4) (6,6)
0 (6,6) (8,8)
0 (8,8) (6,10)
0 (6,10) (8,12)
0 null null
1 (15,2) (15,1)
2 (1,9) (0,8)
3 (7,7) (8,8)
0 (5,4) (5,6)
0 (5,6) (7,8)
0 (7,8) (7,10)
0 (7,10) (7,12)
0 null null
1 (7,4) (9,6)
1 (9,6) (7,8)
1 (7,8) (7,10)
1 (7,10) (5,12)
1 (5,12) (3,10)
1 (3,10) (3,12)
1 (3,12) (1,12)
1 null null
2 (4,14) (4,15)
3 (13,12) (12,11)
0 (7,3) (8,3)
1 (12,0) (13,0)
2 (7,11) (5,11)
2 null null
3 (12,11) (11,12)
0 (8,3) (10,3)
0 null null
1 (15,1) (14,1)
2 (2,12) (3,12)
3 (11,14) (12,14)
0 (8,7) (9,8)
1 (0,14) (1,15)
2 (6,7) (5,6)
3 (11,12) (12,13)
0 (5,5) (5,7)
0 (5,7) (3,9)
0 null null
1 (8,6) (7,6)
2 (6,8) (7,7)
3 (12,14) (11,14)
0 (10,3) (11,4)
1 (7,6) (6,6)
2 (5,6) (4,7)
3 (8,8) (9,7)
0 (11,4) (13,6)
0 null null
1 (14,1) (15,1)
2 (7,7) (7,6)
3 (12,13) (10,13)
3 (10,13) (8,11)
3 (8,11) (6,13)
3 null null
0 (9,8) (10,9)
1 (13,4) (14,4)
2 (0,8) (1,9)
3 (8,9) (10,11)
3 null null
0 (9,10) (11,12)
0 null null
1 (4,8) (4,6)
1 null null
2 (7,6) (7,5)
3 (9,12) (10,13)
0 (13,6) (13,5)
1 (4,6) (3,6)
2 (1,13) (0,14)
3 (10,11) (11,10)
0 (10,9) (12,11)
0 null null
1 (3,6) (2,6)
2 (7,5) (9,5)
2 (9,5) (11,7)
2 null null
3 (9,7) (9,8)
0 (11,12) (12,13)
1 (15,1) (14,0)
2 (4,15) (5,15)
3 (11,10) (10,10)
0 (12,13) (14,15)
0 null null
1 (14,0) (12,2)
1 null null
2 (1,9) (2,10)
3 (6,13) (7,13)
0 (3,9) (4,10)
1 (14,4) (13,4)
2 (0,14) (1,13)
3 (9,8) (8,8)
0 (4,10) (6,12)
0 (6,12) (8,14)
0 null null
1 (1,15) (2,15)
2 (11,7) (12,7)
3 (11,14) (11,12)
3 (11,12) (9,12)
3 null null
0 (13,5) (14,6)
1 (13,4) (12,4)
2 (3,12) (3,13)
3 (8,8) (7,8)
0 (7,12) (8,13)
1 (2,6) (1,5)
2 (12,7) (12,8)
3 (7,8) (7,7)
0 (8,12) (9,13)
1 (12,2) (12,3)
2 (5,15) (6,15)
3 (8,10) (6,8)
3 (6,8) (4,10)
3 (4,10) (2,12)
3 (2,12) (0,12)
3 null null
0 (8,13) (9,14)
1 (1,5) (0,5)
2 (3,13) (4,13)
3 (7,7) (6,8)
0 (12,11) (13,12)
1 (10,6) (10,5)
2 (4,13) (4,14)
3 (6,8) (7,8)
0 (8,14) (9,15)
1 (13,0) (12,0)
2 (1,13) (3,15)
2 (3,15) (5,13)
2 null null
3 (10,10) (9,10)
0 (13,12) (15,14)
0 null null
1 (12,3) (11,3)
2 (2,10) (4,12)
2 (4,12) (6,10)
2 (6,10) (8,8)
2 null null
3 (7,8) (6,8)
0 (2,4) (3,5)
1 (6,6) (5,6)
2 (8,8) (9,8)
3 (9,10) (10,9)
0 (4,11) (2,11)
0 null null
1 (11,3) (9,1)
1 null null
2 (5,13) (3,15)
2 null null
3 (14,12) (15,12)
0 (6,11) (7,11)
1 (2,15) (3,14)
2 (3,15) (4,15)
3 (6,8) (6,9)
0 (7,11) (8,12)
1 (5,6) (4,6)
2 (5,11) (4,12)
3 (7,13) (7,12)
0 (3,3) (4,2)
1 (13,1) (14,1)
2 (9,8) (9,9)
3 (11,13) (12,13)
0 (3,5) (5,7)
0 null null
1 (10,5) (9,6)
2 (9,9) (10,10)
3 (0,12) (0,11)
0 (4,2) (3,3)
1 (9,1) (10,0)
2 (12,8) (11,7)
3 (9,12) (8,13)
0 (14,6) (13,5)
1 (14,1) (13,1)
2 (10,10) (11,9)
3 (0,11) (0,12)
0 (13,5) (11,5)
0 null null
1 (13,1) (12,2)
2 (9,3) (10,3)
3 (10,9) (10,8)
0 (9,15) (10,14)
1 (4,6) (3,7)
2 (11,9) (12,8)
3 (6,9) (7,8)
0 (15,14) (15,15)
1 (3,7) (4,8)
2 (11,7) (12,6)
3 (15,12) (15,13)
0 (9,13) (7,13)
0 null null
1 (0,5) (0,4)
2 (9,0) (11,0)
2 (11,0) (13,0)
2 null null
3 (10,8) (11,7)
0 (8,12) (9,12)
1 (10,0) (11,1)
2 (4,12) (5,11)
3 (0,12) (2,12)
3 null null
0 (7,13) (6,13)
1 (12,2) (13,1)
2 (10,3) (10,4)
3 (7,8) (6,7)
0 (11,5) (9,3)
0 null null
1 (13,1) (15,3)
1 null null
2 (10,4) (11,5)
3 (12,13) (11,14)
0 (8,5) (10,7)
0 (10,7) (12,9)
0 null null
1 (9,6) (8,5)
2 (11,5) (10,6)
3 (8,13) (9,13)
0 (5,7) (5,8)
1 (4,8) (5,7)
2 (4,15) (3,15)
3 (7,12) (6,11)
0 (5,8) (5,10)
0 (5,10) (7,12)
0 (7,12) (5,14)
0 null null
1 (12,4) (12,3)
2 (12,8) (13,9)
3 (2,12) (4,10)
3 (4,10) (6,8)
3 (6,8) (4,6)
3 (4,6) (4,8)
3 (4,8) (6,6)
3 null null
0 (15,15) (14,14)
1 (15,3) (15,4)
2 (3,15) (5,13)
2 (5,13) (7,13)
2 null null
3 (6,6) (5,5)
0 (12,9) (13,8)
1 (1,12) (0,12)
2 (12,6) (10,8)
2 null null
3 (11,8) (11,6)
3 (11,6) (9,6)
3 (9,6) (7,4)
3 null null
0 (5,14) (4,15)
1 (5,7) (6,8)
2 (13,0) (14,1)
3 (5,5) (6,5)
0 (10,14) (11,15)
1 (0,12) (0,13)
2 (13,9) (14,8)
3 (6,11) (7,10)
0 (6,13) (8,13)
0 (8,13) (10,15)
0 (10,15) (12,15)
0 null null
1 (6,8) (7,8)
2 (14,1) (14,0)
3 (7,4) (6,3)
0 (12,15) (13,15)
1 (11,1) (10,0)
2 (14,0) (15,1)
3 (11,7) (12,8)
0 (9,12) (11,12)
0 null null
1 (0,4) (1,4)
2 (10,6) (10,5)
3 (15,13) (15,14)
0 (13,8) (14,9)
1 (0,13) (2,15)
1 null null
2 (7,13) (6,14)
3 (7,10) (8,9)
0 (3,3) (4,4)
1 (2,15) (3,15)
2 (10,8) (9,7)
3 (9,13) (8,14)
0 (14,14) (15,15)
1 (7,8) (6,9)
2 (6,15) (6,13)
2 null null
3 (11,14) (10,15)
0 (11,12) (9,12)
0 (9,12) (11,14)
0 null null
1 (12,3) (11,3)
2 (14,8) (15,9)
3 (12,8) (13,7)
0 (14,9) (15,10)
1 (12,0) (13,0)
2 (15,9) (14,9)
3 (6,3) (7,3)
0 (13,15) (13,13)
0 null null
1 (10,0) (11,1)
2 (5,11) (6,10)
3 (10,15) (8,13)
3 null null
0 (4,4) (5,5)
1 (13,0) (12,1)
2 (6,14) (5,15)
3 (7,3) (8,4)
0 (13,13) (14,14)
1 (10,2) (9,1)
2 (9,7) (10,6)
3 (8,4) (9,5)
0 (2,11) (3,12)
1 (1,4) (3,2)
1 null null
2 (6,10) (5,11)
3 (6,5) (6,6)
0 (3,12) (4,13)
1 (11,3) (11,2)
2 (10,5) (10,7)
2 null null
3 (9,5) (11,7)
3 null null
0 (5,5) (5,6)
1 (9,1) (8,1)
2 (6,13) (5,13)
3 (11,7) (11,6)
0 (15,15) (15,13)
0 null null
1 (15,4) (14,3)
2 (5,11) (4,11)
3 (11,6) (12,7)
0 (4,13) (3,12)
1 (6,9) (7,8)
2 (5,13) (4,13)
3 (8,13) (8,15)
3 null null
0 (15,13) (15,12)
1 (8,5) (9,6)
2 (4,11) (3,10)
3 (8,14) (7,13)
0 (3,12) (4,12)
1 (11,2) (11,3)
2 (14,9) (13,9)
3 (8,9) (9,8)
0 (14,14) (12,14)
0 null null
1 (3,15) (1,13)
1 (1,13) (1,15)
1 null null
2 (10,6) (11,7)
3 (7,13) (7,14)
0 (5,6) (7,6)
0 (7,6) (5,8)
0 (5,8) (5,10)
0 null null
1 (14,3) (15,2)
2 (13,9) (12,8)
3 (13,7) (14,8)
0 (4,12) (5,12)
1 (11,1) (12,2)
2 (12,8) (10,6)
2 null null
3 (14,8) (13,8)
0 (5,10) (4,10)
1 (1,15) (0,14)
2 (10,7) (10,5)
2 null null
3 (7,14) (6,13)
0 (15,10) (15,9)
1 (7,8) (7,7)
2 (15,1) (14,1)
3 (12,7) (11,8)
0 (11,14) (10,14)
1 (3,2) (2,1)
2 (11,7) (12,7)
3 (6,6) (5,7)
0 (11,15) (12,15)
1 (7,7) (8,7)
2 (14,1) (15,0)
3 (5,7) (3,7)
3 null null
0 (12,14) (13,15)
1 (8,7) (10,9)
1 null null
2 (10,5) (9,5)
3 (3,7) (2,6)
0 (4,10) (2,12)
0 null null
1 (12,2) (13,2)
2 (9,5) (8,5)
3 (6,13) (6,14)
0 (10,14) (11,15)
GAMEOVER 
WINNER Player-1
# Game ended: Tue Apr 08 18:53:39 EDT 2014
