# Server version 0.08 running on ytixu:8123
# Game ID: 221
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Sat Feb 07 20:12:13 EST 2015
# Player 1: Player-0, 's260520039Player', running on localhost
# Player 2: Player-1, 's260520039Player', running on localhost
# Player 3: Player-2, 's260520039Player', running on localhost
# Player 4: Player-3, 's260520039Player', running on localhost
START Player-0 s260520039Player
START Player-1 s260520039Player
START Player-2 s260520039Player
START Player-3 s260520039Player
0 (2,2) (3,3)
1 (13,2) (12,3)
2 (2,13) (3,12)
3 (13,13) (12,12)
0 (0,0) (2,2)
0 (2,2) (4,4)
0 null null
1 (15,0) (13,2)
1 (13,2) (11,4)
1 null null
2 (0,15) (2,13)
2 (2,13) (4,11)
2 null null
3 (15,15) (13,13)
3 (13,13) (11,11)
3 null null
0 (0,3) (2,3)
0 (2,3) (4,3)
0 (4,3) (4,5)
0 null null
1 (15,3) (13,3)
1 (13,3) (11,3)
1 (11,3) (11,5)
1 null null
2 (0,12) (2,12)
2 (2,12) (4,12)
2 (4,12) (4,10)
2 null null
3 (15,12) (13,12)
3 (13,12) (11,12)
3 (11,12) (11,10)
3 null null
0 (3,1) (3,2)
1 (12,1) (12,2)
2 (3,14) (3,13)
3 (12,14) (12,13)
0 (3,2) (3,4)
0 (3,4) (5,4)
0 null null
1 (12,2) (12,4)
1 (12,4) (10,4)
1 null null
2 (3,13) (3,11)
2 (3,11) (5,11)
2 null null
3 (12,13) (12,11)
3 (12,11) (10,11)
3 null null
0 (0,1) (2,3)
0 (2,3) (4,3)
0 (4,3) (6,5)
0 null null
1 (15,1) (13,3)
1 (13,3) (11,3)
1 (11,3) (9,5)
1 null null
2 (0,14) (2,12)
2 (2,12) (4,12)
2 (4,12) (6,10)
2 null null
3 (15,14) (13,12)
3 (13,12) (11,12)
3 (11,12) (9,10)
3 null null
0 (0,2) (2,4)
0 null null
1 (15,2) (13,4)
1 null null
2 (1,14) (2,13)
3 (14,15) (12,13)
3 null null
0 (5,4) (7,6)
0 null null
1 (14,0) (12,2)
1 null null
2 (1,12) (2,11)
3 (10,11) (8,9)
3 null null
0 (1,0) (3,2)
0 null null
1 (13,1) (11,3)
1 (11,3) (13,3)
1 null null
2 (2,11) (3,10)
3 (15,13) (13,11)
3 null null
0 (2,1) (4,3)
0 null null
1 (14,2) (12,4)
1 null null
2 (6,10) (7,9)
3 (12,13) (12,11)
3 (12,11) (10,9)
3 null null
0 (1,3) (3,5)
0 null null
1 (12,2) (11,3)
2 (2,13) (2,12)
3 (14,13) (14,11)
3 (14,11) (12,11)
3 (12,11) (10,11)
3 null null
0 (3,0) (4,1)
1 (12,3) (10,5)
1 (10,5) (12,5)
1 null null
2 (3,15) (4,14)
3 (11,11) (9,11)
3 null null
0 (3,2) (5,4)
0 null null
1 (14,1) (13,2)
2 (4,11) (5,10)
3 (12,15) (14,15)
3 (14,15) (14,13)
3 (14,13) (14,11)
3 null null
0 (4,1) (5,2)
1 (13,2) (12,3)
2 (4,10) (5,9)
3 (13,15) (13,13)
3 (13,13) (15,11)
3 null null
0 (4,4) (5,5)
1 (12,3) (10,5)
1 (10,5) (10,3)
1 null null
2 (2,15) (3,14)
3 (15,11) (14,10)
0 (5,2) (6,3)
1 (12,0) (11,1)
2 (5,10) (6,9)
3 (12,12) (11,11)
0 (2,0) (3,1)
1 (9,5) (8,6)
2 (3,12) (4,11)
3 (8,9) (7,8)
0 (3,1) (4,2)
1 (13,0) (12,1)
2 (4,11) (5,10)
3 (11,11) (11,9)
3 (11,9) (9,9)
3 null null
0 (1,2) (2,3)
1 (12,1) (11,2)
2 (0,13) (1,12)
3 (10,11) (8,9)
3 null null
0 (3,5) (4,6)
1 (11,2) (9,4)
1 null null
2 (6,9) (5,8)
3 (10,9) (11,9)
0 (4,2) (4,1)
1 (14,3) (14,2)
2 (1,12) (2,13)
3 (13,11) (15,9)
3 null null
0 (4,3) (5,2)
1 (13,3) (12,2)
2 (2,14) (3,13)
3 (14,11) (15,10)
0 (5,4) (5,6)
0 null null
1 (11,1) (12,1)
2 (7,9) (6,9)
3 (8,9) (8,8)
0 (3,3) (1,3)
0 null null
1 (12,1) (11,0)
2 (5,10) (6,11)
3 (9,11) (10,10)
0 (5,2) (6,2)
1 (11,5) (10,6)
2 (3,13) (3,15)
2 null null
3 (14,12) (13,13)
0 (6,2) (6,4)
0 null null
1 (11,0) (10,0)
2 (5,11) (6,10)
3 (15,10) (15,11)
0 (1,3) (0,3)
1 (12,2) (13,1)
2 (5,9) (7,11)
2 null null
3 (9,9) (11,11)
3 null null
0 (2,4) (1,5)
1 (14,2) (12,0)
1 null null
2 (6,11) (5,10)
3 (11,9) (12,8)
0 (1,1) (2,1)
1 (10,6) (11,5)
2 (2,13) (3,12)
3 (15,11) (14,11)
0 (6,5) (6,6)
1 (12,5) (11,6)
2 (6,10) (4,10)
2 null null
3 (14,11) (14,12)
0 (4,1) (3,2)
1 (8,6) (7,7)
2 (4,14) (3,13)
3 (14,10) (13,11)
0 (2,1) (3,1)
1 (13,1) (12,2)
2 (3,12) (4,11)
3 (8,8) (9,9)
0 (6,6) (6,7)
1 (9,4) (8,4)
2 (3,13) (4,12)
3 (9,9) (8,10)
0 (6,3) (5,3)
1 (11,6) (12,5)
2 (5,10) (4,9)
3 (11,11) (12,10)
0 (3,1) (3,3)
0 null null
1 (11,5) (13,5)
1 null null
2 (4,9) (4,8)
3 (12,10) (13,10)
0 (3,2) (4,1)
1 (8,4) (7,5)
2 (4,11) (5,10)
3 (14,12) (15,12)
0 (4,1) (3,1)
1 (12,0) (12,1)
2 (6,9) (7,10)
3 (13,13) (14,13)
0 (3,1) (2,2)
1 (12,2) (13,3)
2 (4,10) (6,10)
2 null null
3 (14,14) (15,13)
0 (3,3) (3,4)
1 (13,3) (14,2)
2 (7,11) (5,9)
2 null null
3 (12,8) (11,9)
0 (7,6) (8,7)
1 (12,1) (11,0)
2 (3,15) (2,14)
3 (13,11) (14,11)
0 (1,5) (2,6)
1 (13,5) (11,5)
1 (11,5) (13,3)
1 (13,3) (15,1)
1 null null
2 (3,10) (3,9)
3 (15,9) (14,9)
0 (8,7) (9,6)
1 (12,5) (11,6)
2 (7,10) (8,9)
3 (14,9) (15,10)
0 (5,5) (6,5)
1 (11,4) (11,2)
1 null null
2 (5,10) (6,11)
3 (11,9) (12,10)
0 (6,5) (6,3)
0 (6,3) (4,3)
0 null null
1 (14,2) (15,2)
2 (4,12) (4,11)
3 (15,10) (13,12)
3 (13,12) (15,14)
3 null null
0 (2,2) (1,2)
1 (11,0) (12,1)
2 (6,11) (6,9)
2 (6,9) (4,7)
2 (4,7) (6,5)
2 (6,5) (6,3)
2 null null
3 (13,10) (12,9)
0 (4,3) (4,4)
1 (12,1) (13,2)
2 (8,9) (8,8)
3 (10,10) (11,11)
0 (9,6) (10,7)
1 (11,2) (12,3)
2 (8,8) (9,7)
3 (12,9) (13,10)
0 (4,4) (6,2)
0 null null
1 (15,1) (14,0)
2 (4,11) (4,10)
3 (12,10) (10,12)
3 null null
0 (10,7) (9,8)
1 (12,3) (14,5)
1 null null
2 (5,9) (3,11)
2 null null
3 (13,10) (12,11)
0 (6,2) (6,1)
1 (11,6) (10,5)
2 (9,7) (9,6)
3 (11,11) (12,10)
0 (1,2) (0,1)
1 (10,4) (10,2)
1 null null
2 (3,11) (3,10)
3 (15,13) (14,14)
0 (6,4) (5,4)
1 (10,5) (9,5)
2 (2,12) (3,12)
3 (15,12) (15,11)
0 (0,1) (1,2)
1 (14,5) (15,6)
2 (3,9) (2,10)
3 (12,11) (11,11)
0 (5,4) (7,2)
0 null null
1 (10,0) (10,1)
2 (2,14) (3,15)
3 (14,11) (14,12)
0 (7,2) (8,1)
1 (10,1) (11,1)
2 (3,14) (4,13)
3 (14,14) (12,14)
3 null null
0 (8,1) (9,1)
1 (11,1) (12,2)
2 (6,10) (7,9)
3 (11,11) (13,9)
3 null null
0 (9,1) (9,0)
1 (12,2) (13,3)
2 (4,10) (3,11)
3 (14,12) (14,11)
0 (1,2) (2,1)
1 (13,3) (13,1)
1 null null
2 (3,11) (1,9)
2 null null
3 (14,13) (13,13)
0 (6,1) (6,2)
1 (14,0) (14,1)
2 (4,13) (3,14)
3 (14,11) (14,12)
0 (6,2) (5,2)
1 (14,1) (12,1)
1 (12,1) (14,3)
1 null null
2 (3,15) (2,15)
3 (13,13) (11,15)
3 null null
0 (9,0) (9,1)
1 (10,2) (11,1)
2 (3,12) (3,11)
3 (12,10) (11,11)
0 (2,6) (2,7)
1 (13,2) (15,4)
1 null null
2 (7,9) (6,9)
3 (13,9) (12,9)
0 (5,3) (5,4)
1 (9,5) (10,5)
2 (3,10) (4,11)
3 (12,9) (11,8)
0 (9,8) (10,7)
1 (14,3) (13,2)
2 (2,15) (0,15)
2 null null
3 (11,8) (11,7)
0 (10,7) (10,6)
1 (15,2) (15,3)
2 (2,10) (3,10)
3 (11,15) (12,15)
0 (2,1) (1,1)
1 (10,5) (11,6)
2 (3,10) (5,12)
2 null null
3 (14,12) (14,11)
0 (5,4) (4,4)
1 (13,1) (14,0)
2 (4,11) (3,12)
3 (11,10) (12,11)
0 (9,1) (9,2)
1 (11,6) (10,7)
2 (3,11) (4,12)
3 (11,7) (12,7)
0 (9,2) (8,3)
1 (10,7) (10,8)
2 (3,14) (4,14)
3 (11,11) (12,12)
0 (4,4) (4,3)
1 (11,1) (12,0)
2 (6,9) (7,9)
3 (12,11) (12,13)
3 null null
0 (1,1) (2,1)
1 (12,4) (11,4)
2 (3,12) (4,11)
3 (12,12) (13,13)
0 (8,3) (9,2)
1 (14,0) (15,0)
2 (4,14) (5,13)
3 (13,13) (11,15)
3 (11,15) (13,15)
3 null null
0 (9,2) (10,1)
1 (12,0) (11,0)
2 (7,9) (6,9)
3 (14,11) (14,10)
0 (5,2) (7,4)
0 null null
1 (15,3) (14,4)
2 (9,6) (11,6)
2 null null
3 (12,15) (14,13)
3 null null
0 (10,6) (10,7)
1 (10,8) (10,9)
2 (5,13) (4,14)
3 (14,10) (14,11)
0 (2,7) (2,8)
1 (11,0) (11,1)
2 (5,12) (4,13)
3 (12,13) (13,13)
0 (10,7) (12,5)
0 (12,5) (14,3)
0 (14,3) (12,1)
0 null null
1 (13,2) (12,3)
2 (4,14) (5,13)
3 (13,15) (12,15)
0 (2,8) (2,9)
1 (13,4) (14,3)
2 (4,13) (3,13)
3 (14,13) (15,13)
0 (12,1) (11,2)
1 (11,4) (12,5)
2 (6,9) (5,9)
3 (15,13) (14,14)
0 (7,4) (5,2)
0 null null
1 (14,3) (15,2)
2 (4,11) (5,12)
3 (12,15) (13,15)
0 (5,2) (5,1)
1 (12,3) (13,2)
2 (4,12) (3,11)
3 (12,7) (10,5)
3 null null
0 (2,9) (1,10)
1 (11,1) (9,1)
1 null null
2 (3,11) (2,12)
3 (14,14) (14,13)
0 (10,1) (10,2)
1 (15,6) (14,7)
2 (0,15) (1,14)
3 (7,8) (8,8)
0 (2,1) (2,0)
1 (9,1) (8,2)
2 (5,12) (4,12)
3 (13,13) (11,15)
3 null null
0 (5,1) (5,0)
1 (14,7) (15,6)
2 (4,12) (4,11)
3 (15,11) (14,12)
0 (5,0) (4,1)
1 (15,0) (14,1)
2 (11,6) (10,7)
3 (14,12) (15,12)
0 (10,2) (9,2)
1 (10,9) (11,10)
2 (2,12) (3,11)
3 (14,11) (13,11)
0 (4,1) (5,1)
1 (14,1) (13,0)
2 (5,13) (6,14)
3 (8,8) (8,7)
0 (11,2) (11,4)
0 (11,4) (13,6)
0 null null
1 (15,6) (15,7)
2 (10,7) (11,8)
3 (10,5) (9,5)
0 (4,3) (5,4)
1 (15,2) (15,3)
2 (4,11) (5,12)
3 (13,11) (14,11)
0 (5,4) (3,6)
0 null null
1 (12,5) (13,5)
2 (5,9) (3,7)
2 (3,7) (5,5)
2 null null
3 (14,11) (14,12)
0 (9,2) (9,1)
1 (10,3) (11,2)
2 (5,12) (6,13)
3 (14,12) (13,13)
0 (3,6) (2,7)
1 (13,0) (12,1)
2 (6,3) (7,2)
3 (13,13) (15,13)
3 (15,13) (15,11)
3 null null
0 (2,7) (1,8)
1 (15,7) (15,6)
2 (3,11) (3,10)
3 (8,7) (8,8)
0 (1,10) (2,11)
1 (8,2) (9,3)
2 (3,13) (3,12)
3 (9,5) (8,5)
0 (9,1) (9,2)
1 (9,3) (9,1)
1 null null
2 (11,8) (12,7)
3 (8,5) (7,6)
0 (5,1) (4,2)
1 (13,2) (14,3)
2 (6,14) (5,13)
3 (15,11) (14,10)
0 (13,6) (14,6)
1 (11,2) (10,3)
2 (6,13) (7,12)
3 (15,12) (14,12)
0 (4,2) (4,3)
1 (9,1) (8,2)
2 (1,14) (0,13)
3 (7,6) (8,7)
0 (9,2) (9,1)
1 (12,1) (13,0)
2 (12,7) (13,8)
3 (14,13) (13,13)
0 (4,3) (5,3)
GAMEOVER 
WINNER Player-1
# Game ended: Sat Feb 07 20:12:54 EST 2015
