LINK,NUM,OBSERVED,TRANTIME,AVGPROB,NDETECT
|('exit_donald', 'entry_minny')|,100,False,0.0,0.0,0.0
|('exit_donald', 'entry_minny')|,500,False,0.0,0.0,0.0
|('exit_donald', 'entry_minny')|,1000,True,0.0,0.0,0.0
|('exit_donald', 'entry_minny')|,2000,False,0.0,0.0,0.0
|('exit_donald', 'entry_minny')|,3000,False,0.0,0.0,0.0
|('exit_donald', 'entry_minny')|,4000,False,0.0,0.0,0.0
|('exit_donald', 'entry_minny')|,5000,False,0.0,0.0,0.0
|('exit_donald', 'exit_donald')|,100,False,0.0,0.0,0.0
|('exit_donald', 'exit_donald')|,500,False,0.0,0.0,0.0
|('exit_donald', 'exit_donald')|,1000,True,0.0,0.22708333333333336,2
|('exit_donald', 'exit_donald')|,1000,True,1.0,0.60824156271471319,15
|('exit_donald', 'exit_donald')|,1000,True,2.0,0.5415204678362574,3
|('exit_donald', 'exit_donald')|,1000,True,3.0,0.69999999999999996,2
|('exit_donald', 'exit_donald')|,1000,True,5.0,0.34375,2
|('exit_donald', 'exit_donald')|,1000,True,6.0,0.35294117647058826,1
|('exit_donald', 'exit_donald')|,1000,True,7.0,0.21052631578947367,1
|('exit_donald', 'exit_donald')|,1000,True,8.0,0.43333333333333335,2
|('exit_donald', 'exit_donald')|,1000,True,9.0,0.65384615384615385,2
|('exit_donald', 'exit_donald')|,1000,True,10.0,0.23684210526315791,1
|('exit_donald', 'exit_donald')|,1000,True,11.0,0.47368421052631576,1
|('exit_donald', 'exit_donald')|,1000,True,12.0,0.31153695598021425,3
|('exit_donald', 'exit_donald')|,1000,True,13.0,0.20913461538461539,2
|('exit_donald', 'exit_donald')|,1000,True,14.0,0.17105263157894737,2
|('exit_donald', 'exit_donald')|,1000,True,15.0,0.28340517241379309,2
|('exit_donald', 'exit_donald')|,2000,False,0.0,0.0,0.0
|('exit_donald', 'exit_donald')|,3000,False,0.0,0.0,0.0
|('exit_donald', 'exit_donald')|,4000,False,0.0,0.0,0.0
|('exit_donald', 'exit_donald')|,5000,False,0.0,0.0,0.0
|('exit_goofy', 'entry_micky')|,100,False,0.0,0.0,0.0
|('exit_goofy', 'entry_micky')|,500,False,0.0,0.0,0.0
|('exit_goofy', 'entry_micky')|,1000,True,0.0,0.0,0.0
|('exit_goofy', 'entry_micky')|,2000,False,0.0,0.0,0.0
|('exit_goofy', 'entry_micky')|,3000,False,0.0,0.0,0.0
|('exit_goofy', 'entry_micky')|,4000,False,0.0,0.0,0.0
|('exit_goofy', 'entry_micky')|,5000,False,0.0,0.0,0.0
|('entry_minny', 'entry_minny')|,100,False,0.0,0.0,0.0
|('entry_minny', 'entry_minny')|,500,False,0.0,0.0,0.0
|('entry_minny', 'entry_minny')|,1000,True,0.0,0.33823529411764708,2
|('entry_minny', 'entry_minny')|,1000,True,1.0,0.52216430716430706,10
|('entry_minny', 'entry_minny')|,1000,True,2.0,0.30286168521462642,2
|('entry_minny', 'entry_minny')|,1000,True,3.0,0.32156862745098042,2
|('entry_minny', 'entry_minny')|,1000,True,4.0,0.29028314028314034,3
|('entry_minny', 'entry_minny')|,1000,True,5.0,0.38382352941176473,4
|('entry_minny', 'entry_minny')|,1000,True,6.0,0.33227344992050878,2
|('entry_minny', 'entry_minny')|,1000,True,7.0,0.29689689689689691,3
|('entry_minny', 'entry_minny')|,1000,True,8.0,0.46111111111111114,2
|('entry_minny', 'entry_minny')|,1000,True,9.0,0.5,1
|('entry_minny', 'entry_minny')|,1000,True,10.0,0.47972972972972966,3
|('entry_minny', 'entry_minny')|,1000,True,12.0,0.58823529411764708,2
|('entry_minny', 'entry_minny')|,1000,True,13.0,0.45702702702702702,5
|('entry_minny', 'entry_minny')|,1000,True,14.0,0.23529411764705885,1
|('entry_minny', 'entry_minny')|,1000,True,15.0,0.33333333333333331,1
|('entry_minny', 'entry_minny')|,2000,False,0.0,0.0,0.0
|('entry_minny', 'entry_minny')|,3000,False,0.0,0.0,0.0
|('entry_minny', 'entry_minny')|,4000,False,0.0,0.0,0.0
|('entry_minny', 'entry_minny')|,5000,False,0.0,0.0,0.0
|('exit_daisy', 'entry_minny')|,100,False,0.0,0.0,0.0
|('exit_daisy', 'entry_minny')|,500,False,0.0,0.0,0.0
|('exit_daisy', 'entry_minny')|,1000,True,0.0,0.0,0.0
|('exit_daisy', 'entry_minny')|,2000,False,0.0,0.0,0.0
|('exit_daisy', 'entry_minny')|,3000,False,0.0,0.0,0.0
|('exit_daisy', 'entry_minny')|,4000,False,0.0,0.0,0.0
|('exit_daisy', 'entry_minny')|,5000,False,0.0,0.0,0.0
|('entry_micky', 'entry_minny')|,100,False,0.0,0.0,0.0
|('entry_micky', 'entry_minny')|,500,False,0.0,0.0,0.0
|('entry_micky', 'entry_minny')|,1000,True,1.0,0.3125,1
|('entry_micky', 'entry_minny')|,1000,True,2.0,0.52380952380952384,1
|('entry_micky', 'entry_minny')|,1000,True,3.0,0.5,1
|('entry_micky', 'entry_minny')|,1000,True,4.0,0.46666666666666667,1
|('entry_micky', 'entry_minny')|,1000,True,5.0,1.0,1
|('entry_micky', 'entry_minny')|,1000,True,6.0,0.74603174603174605,6
|('entry_micky', 'entry_minny')|,1000,True,7.0,0.51488095238095233,3
|('entry_micky', 'entry_minny')|,1000,True,9.0,0.5,1
|('entry_micky', 'entry_minny')|,1000,True,10.0,0.35714285714285715,1
|('entry_micky', 'entry_minny')|,1000,True,11.0,0.3125,1
|('entry_micky', 'entry_minny')|,1000,True,13.0,0.60130952380952385,5
|('entry_micky', 'entry_minny')|,2000,False,0.0,0.0,0.0
|('entry_micky', 'entry_minny')|,3000,False,0.0,0.0,0.0
|('entry_micky', 'entry_minny')|,4000,False,0.0,0.0,0.0
|('entry_micky', 'entry_minny')|,5000,False,0.0,0.0,0.0
|('exit_donald', 'exit_daisy')|,100,False,0.0,0.0,0.0
|('exit_donald', 'exit_daisy')|,500,False,0.0,0.0,0.0
|('exit_donald', 'exit_daisy')|,1000,True,1.0,0.32894736842105265,2
|('exit_donald', 'exit_daisy')|,1000,True,2.0,0.31515151515151513,2
|('exit_donald', 'exit_daisy')|,1000,True,3.0,0.61403508771929827,2
|('exit_donald', 'exit_daisy')|,1000,True,4.0,0.50705128205128203,4
|('exit_donald', 'exit_daisy')|,1000,True,5.0,0.65081490709021073,13
|('exit_donald', 'exit_daisy')|,1000,True,6.0,0.32167832167832167,3
|('exit_donald', 'exit_daisy')|,1000,True,7.0,0.17894736842105263,2
|('exit_donald', 'exit_daisy')|,1000,True,8.0,0.19230769230769235,1
|('exit_donald', 'exit_daisy')|,1000,True,9.0,0.15384615384615385,1
|('exit_donald', 'exit_daisy')|,1000,True,10.0,0.23076923076923078,1
|('exit_donald', 'exit_daisy')|,1000,True,13.0,1.0,1
|('exit_donald', 'exit_daisy')|,1000,True,14.0,0.25033738191632926,2
|('exit_donald', 'exit_daisy')|,1000,True,15.0,0.29720279720279719,2
|('exit_donald', 'exit_daisy')|,2000,False,0.0,0.0,0.0
|('exit_donald', 'exit_daisy')|,3000,False,0.0,0.0,0.0
|('exit_donald', 'exit_daisy')|,4000,False,0.0,0.0,0.0
|('exit_donald', 'exit_daisy')|,5000,False,0.0,0.0,0.0
